Lugar;Espacialidade;COD IBGE;Índice de Theil - L (2010);Índice de Gini (2010);% da população em domicílios com banheiro e água encanada (2010);Mortalidade infantil (2010);Renda per capita (2010)
Acrelândia (AC);Município;120001;0,52;0,54;55,29;18,3;303,76
Assis Brasil (AC);Município;120005;0,63;0,61;40,79;24,3;291,33
Brasiléia (AC);Município;120010;0,61;0,58;53,24;24,2;376,07
Bujari (AC);Município;120013;0,61;0,58;41,89;23,9;340,95
Capixaba (AC);Município;120017;0,59;0,56;30,45;20,4;336,17
Cruzeiro do Sul (AC);Município;120020;0,74;0,64;38,88;23,38;450,06
Epitaciolândia (AC);Município;120025;0,65;0,6;45,68;24,1;467,83
Feijó (AC);Município;120030;0,73;0,68;26,02;33,2;259,43
Jordão (AC);Município;120032;0,88;0,71;8,66;31,6;178,03
Mâncio Lima (AC);Município;120033;0,69;0,61;28,19;24,4;295,5
Manoel Urbano (AC);Município;120034;0,63;0,59;30,12;24,7;307,7
Marechal Thaumaturgo (AC);Município;120035;0,51;0,59;9,33;32,5;157,27
Plácido de Castro (AC);Município;120038;0,56;0,55;44,68;21,6;321,16
Porto Acre (AC);Município;120080;0,66;0,6;40,21;24,2;319,71
Porto Walter (AC);Município;120039;0,61;0,61;17,37;32,4;204,19
Rio Branco (AC);Município;120040;0,64;0,59;62,1;20,03;744,67
Rodrigues Alves (AC);Município;120042;0,72;0,63;10,89;30,4;200,58
Santa Rosa do Purus (AC);Município;120043;1,15;0,78;28,21;22,4;201,58
Senador Guiomard (AC);Município;120045;0,54;0,55;52,88;21,6;455,06
Sena Madureira (AC);Município;120050;0,48;0,54;36,48;18;320,8
Tarauacá (AC);Município;120060;0,74;0,65;19,3;33,7;251,53
Xapuri (AC);Município;120070;0,59;0,58;51,78;23,7;382,24
Água Branca (AL);Município;270010;0,63;0,56;44,6;33,8;213
Anadia (AL);Município;270020;0,52;0,53;71,98;28,4;239,53
Arapiraca (AL);Município;270030;0,56;0,55;82,16;22;423,28
Atalaia (AL);Município;270040;0,45;0,5;57,89;29;237,33
Barra de Santo Antônio (AL);Município;270050;0,5;0,52;86,94;33,1;247,81
Barra de São Miguel (AL);Município;270060;0,56;0,55;90,74;26,3;422,78
Batalha (AL);Município;270070;0,45;0,49;58,61;29,2;265,62
Belém (AL);Município;270080;0,6;0,56;46,94;26,8;309,5
Belo Monte (AL);Município;270090;0,73;0,65;36,42;34,5;187,77
Boca da Mata (AL);Município;270100;0,5;0,51;76,04;28;260,2
Branquinha (AL);Município;270110;0,32;0,42;65,8;40,2;221,93
Cacimbinhas (AL);Município;270120;0,66;0,6;18,47;40,6;259,72
Cajueiro (AL);Município;270130;0,45;0,49;78,86;42,1;232,85
Campestre (AL);Município;270135;0,41;0,47;77,19;33,7;245,43
Campo Alegre (AL);Município;270140;0,41;0,47;80,91;31,1;217,72
Campo Grande (AL);Município;270150;0,65;0,58;73,52;31,6;181,54
Canapi (AL);Município;270160;0,68;0,6;18,2;35,9;183,83
Capela (AL);Município;270170;0,44;0,49;60,06;30,8;251,36
Carneiros (AL);Município;270180;0,59;0,54;42,66;37,9;199,58
Chã Preta (AL);Município;270190;0,48;0,5;71,59;32;226,6
Coité do Nóia (AL);Município;270200;0,52;0,52;38,49;33,4;203,15
Colônia Leopoldina (AL);Município;270210;0,53;0,53;64,51;41,7;242,28
Coqueiro Seco (AL);Município;270220;0,46;0,49;79,9;28,2;299,47
Coruripe (AL);Município;270230;0,52;0,52;87,54;26;315,85
Craíbas (AL);Município;270235;0,5;0,53;39,78;43;199,54
Delmiro Gouveia (AL);Município;270240;0,53;0,52;80,85;25,1;332,13
Dois Riachos (AL);Município;270250;0,54;0,55;33,74;27,2;194,81
Estrela de Alagoas (AL);Município;270255;0,5;0,51;22,12;35,6;196,92
Feira Grande (AL);Município;270260;0,52;0,53;56,05;32,2;193,07
Feliz Deserto (AL);Município;270270;0,44;0,49;93,44;38,2;245,49
Flexeiras (AL);Município;270280;0,42;0,47;64,19;41,6;213,44
Girau do Ponciano (AL);Município;270290;0,62;0,58;39,14;27,2;177,55
Ibateguara (AL);Município;270300;0,51;0,53;78,18;43,6;199,68
Igaci (AL);Município;270310;0,62;0,57;38,98;25;241,17
Igreja Nova (AL);Município;270320;0,83;0,65;63,48;25,7;254,34
Inhapi (AL);Município;270330;0,78;0,67;24,53;36;180,64
Jacaré dos Homens (AL);Município;270340;0,44;0,49;72,81;27,8;235,11
Jacuípe (AL);Município;270350;0,4;0,46;57,8;28,5;219,52
Japaratinga (AL);Município;270360;0,48;0,52;61,2;32,4;260,92
Jaramataia (AL);Município;270370;0,41;0,48;32,91;39,7;219,1
Jequiá da Praia (AL);Município;270375;0,41;0,47;71,45;25,4;199,39
Joaquim Gomes (AL);Município;270380;0,47;0,5;63,16;26,9;190,23
Jundiá (AL);Município;270390;0,52;0,54;50,2;36,6;282,87
Junqueiro (AL);Município;270400;0,61;0,57;72,57;36,8;306,96
Lagoa da Canoa (AL);Município;270410;0,47;0,51;55,78;39,4;231,56
Limoeiro de Anadia (AL);Município;270420;0,79;0,64;54,66;31,1;285,98
Maceió (AL);Município;270430;0,74;0,63;94,91;22,02;792,54
Major Isidoro (AL);Município;270440;0,53;0,54;35,1;28,5;270,04
Maragogi (AL);Município;270450;0,53;0,54;61,02;26,5;253,86
Maravilha (AL);Município;270460;0,65;0,58;39,63;31;229,39
Marechal Deodoro (AL);Município;270470;0,68;0,6;85,81;21,9;431,43
Maribondo (AL);Município;270480;0,44;0,49;64,45;29,2;297,05
Mar Vermelho (AL);Município;270490;0,43;0,47;82,02;26,4;229,81
Mata Grande (AL);Município;270500;0,63;0,57;31,89;43,6;186,87
Matriz de Camaragibe (AL);Município;270510;0,4;0,46;74,56;24,5;231,82
Messias (AL);Município;270520;0,44;0,49;86,95;36,9;256,45
Minador do Negrão (AL);Município;270530;0,54;0,54;32,74;26,4;231,37
Monteirópolis (AL);Município;270540;0,46;0,49;51,68;37,8;176,62
Murici (AL);Município;270550;0,42;0,48;64,83;43,5;233,16
Novo Lino (AL);Município;270560;0,54;0,55;47;42,4;239,75
Olho D'Água das Flores (AL);Município;270570;0,57;0,55;73,56;29;274,46
Olho D'Água do Casado (AL);Município;270580;0,54;0,54;55,06;23,2;211,97
Olho D'Água Grande (AL);Município;270590;0,66;0,59;51,18;46,4;151,62
Olivença (AL);Município;270600;0,61;0,56;37,9;45,4;195,19
Ouro Branco (AL);Município;270610;0,61;0,55;24,91;40;227,56
Palestina (AL);Município;270620;0,67;0,59;74,27;32,5;185,39
Palmeira dos Índios (AL);Município;270630;0,6;0,56;68,95;21,8;391,37
Pão de Açúcar (AL);Município;270640;0,63;0,57;71,05;21,8;224,33
Pariconha (AL);Município;270642;0,51;0,5;48,51;28,7;211,13
Paripueira (AL);Município;270644;0,53;0,53;81,47;26,4;324,93
Passo de Camaragibe (AL);Município;270650;0,43;0,48;58,66;39,3;194,73
Paulo Jacinto (AL);Município;270660;0,52;0,52;81,59;33;247,2
Penedo (AL);Município;270670;0,57;0,55;88,71;25,1;339,15
Piaçabuçu (AL);Município;270680;0,5;0,52;77,49;34,2;227,65
Pilar (AL);Município;270690;0,52;0,51;91,88;25,6;292,06
Pindoba (AL);Município;270700;0,63;0,58;72,06;39,4;292,88
Piranhas (AL);Município;270710;0,68;0,6;62,52;23;265,96
Poço das Trincheiras (AL);Município;270720;0,74;0,64;19,76;35,8;162,21
Porto Calvo (AL);Município;270730;0,41;0,47;74,47;35;257,64
Porto de Pedras (AL);Município;270740;0,5;0,53;56,44;25,9;233,72
Porto Real do Colégio (AL);Município;270750;0,71;0,61;75,12;28;195,26
Quebrangulo (AL);Município;270760;0,55;0,53;68,08;24,8;224,78
Rio Largo (AL);Município;270770;0,43;0,48;89,61;22,8;369,11
Roteiro (AL);Município;270780;0,4;0,47;70,77;46,8;208,84
Santa Luzia do Norte (AL);Município;270790;0,44;0,48;87,69;25,8;295,95
Santana do Ipanema (AL);Município;270800;0,75;0,61;61,64;25,8;293,85
Santana do Mundaú (AL);Município;270810;0,45;0,49;74,33;29;194,87
São Brás (AL);Município;270820;0,73;0,61;82,62;33;220,92
São José da Laje (AL);Município;270830;0,42;0,48;71,08;28,6;284,02
São José da Tapera (AL);Município;270840;0,64;0,58;39,76;39,2;188,84
São Luís do Quitunde (AL);Município;270850;0,46;0,5;57,96;39,8;244,85
São Miguel dos Campos (AL);Município;270860;0,47;0,51;95,41;25,7;360,82
São Miguel dos Milagres (AL);Município;270870;0,42;0,48;82,67;29;237,78
São Sebastião (AL);Município;270880;0,54;0,54;49,41;36,9;225,84
Satuba (AL);Município;270890;0,5;0,52;92,07;21,7;377,42
Senador Rui Palmeira (AL);Município;270895;0,59;0,55;23,07;33,9;159,61
Tanque D'Arca (AL);Município;270900;0,47;0,5;55,57;30;217,85
Taquarana (AL);Município;270910;0,47;0,51;54,13;37,7;215,16
Teotônio Vilela (AL);Município;270915;0,48;0,51;80,75;40;244,39
Traipu (AL);Município;270920;0,78;0,64;29,09;26,6;178,79
União dos Palmares (AL);Município;270930;0,53;0,53;83,97;26,9;313,92
Viçosa (AL);Município;270940;0,66;0,59;84,2;28;251,25
Alvarães (AM);Município;130002;0,54;0,58;25,53;20,8;178,67
Amaturá (AM);Município;130006;0,73;0,64;37,25;21,7;178,69
Anamã (AM);Município;130008;0,62;0,58;46,79;27;226,82
Anori (AM);Município;130010;0,66;0,6;52,94;24,3;229,94
Apuí (AM);Município;130014;0,56;0,56;46,5;21,9;380,62
Atalaia do Norte (AM);Município;130020;0,55;0,65;17,52;28,6;159,21
Autazes (AM);Município;130030;0,62;0,59;24,55;17,8;228,43
Barcelos (AM);Município;130040;0,77;0,74;37,94;29,5;237,29
Barreirinha (AM);Município;130050;0,66;0,6;35,69;21,5;148,28
Benjamin Constant (AM);Município;130060;0,5;0,56;22,34;23,2;211,1
Beruri (AM);Município;130063;0,73;0,65;21,95;29;193,4
Boa Vista do Ramos (AM);Município;130068;0,62;0,59;36,65;25,5;175,55
Boca do Acre (AM);Município;130070;0,72;0,63;28,18;21,1;288,42
Borba (AM);Município;130080;0,72;0,64;30,97;21,3;219,83
Caapiranga (AM);Município;130083;0,53;0,58;43,17;21,4;235,49
Canutama (AM);Município;130090;0,67;0,61;53,11;25,2;206,44
Carauari (AM);Município;130100;0,55;0,54;31,13;26,4;222,32
Careiro (AM);Município;130110;0,63;0,66;32,3;20,7;197,06
Careiro da Várzea (AM);Município;130115;0,49;0,57;16,07;20,7;207,18
Coari (AM);Município;130120;0,69;0,64;51,77;19,58;347,2
Codajás (AM);Município;130130;0,69;0,61;47,59;21,4;239,64
Eirunepé (AM);Município;130140;0,67;0,62;23,75;24,4;241,86
Envira (AM);Município;130150;0,7;0,64;24,55;29,6;204,98
Fonte Boa (AM);Município;130160;0,62;0,62;31,25;31,3;200,4
Guajará (AM);Município;130165;0,89;0,74;15,92;23,5;191,04
Humaitá (AM);Município;130170;0,84;0,66;58,58;18,9;382,13
Ipixuna (AM);Município;130180;0,54;0,58;15,3;21,8;154,54
Iranduba (AM);Município;130185;0,55;0,56;55,44;17,8;349,23
Itacoatiara (AM);Município;130190;0,63;0,59;62,11;15,31;373,71
Itamarati (AM);Município;130195;1,28;0,8;19,03;21,8;214,95
Itapiranga (AM);Município;130200;0,81;0,67;48,43;18,7;321,94
Japurá (AM);Município;130210;0,66;0,59;31,51;25,9;248,6
Juruá (AM);Município;130220;0,67;0,6;27,35;34,3;227,39
Jutaí (AM);Município;130230;0,87;0,69;14,65;22,8;214,36
Lábrea (AM);Município;130240;0,63;0,59;41,87;26,6;227,62
Manacapuru (AM);Município;130250;0,56;0,56;55,6;17,23;342,58
Manaquiri (AM);Município;130255;0,59;0,57;31,34;25,8;254,15
