Cod. Loc.;Divisões Territoriais;2010
120001;Acrelândia;25,5
120005;Assis Brasil;35,1
120010;Brasiléia;34,9
120013;Bujari;22,8
120017;Capixaba;28,3
120020;Cruzeiro do Sul;42
120025;Epitaciolândia;35,2
120030;Feijó;26,4
120032;Jordão;26
120033;Mâncio Lima;42,6
120034;Manoel Urbano;25,8
120035;Marechal Thaumaturgo;31,3
120038;Plácido de Castro;28,4
120039;Porto Walter;26,8
120040;Rio Branco;46,1
120042;Rodrigues Alves;27,1
120043;Santa Rosa do Purus;22,5
120045;Senador Guiomard;39,1
120050;Sena Madureira;34,5
120060;Tarauacá;32,1
120070;Xapuri;39,2
120080;Porto Acre;29,7
12R;Acre - Rural;22,9
12U;Acre - Urbano;45,2
