Cod. Loc.;Divisões Territoriais;2010
430003;Aceguá;19,1
430005;Água Santa;8,8
430010;Agudo;24,5
430020;Ajuricaba;21,5
430030;Alecrim;19,6
430040;Alegrete;33,3
430045;Alegria;22,3
430047;Almirante Tamandaré do Sul;12,6
430050;Alpestre;18,4
430055;Alto Alegre;12,5
430057;Alto Feliz;30,1
430060;Alvorada;47,2
430063;Amaral Ferrador;20,5
430064;Ametista do Sul;22,8
430066;André da Rocha;9,65
430070;Anta Gorda;12
430080;Antônio Prado;22,9
430085;Arambaré;20,4
430087;Araricá;30,3
430090;Aratiba;20,6
430100;Arroio do Meio;32,8
430105;Arroio do Sal;41,8
430107;Arroio do Padre;10,2
430110;Arroio dos Ratos;37,5
430120;Arroio do Tigre;23,3
430130;Arroio Grande;38,9
430140;Arvorezinha;23,8
430150;Augusto Pestana;19,9
430155;Áurea;28,1
430160;Bagé;43,6
430163;Balneário Pinhal;39,7
430165;Barão;32,1
430170;Barão de Cotegipe;19,2
430175;Barão do Triunfo;15,2
430180;Barracão;30,6
430185;Barra do Guarita;26
430187;Barra do Quaraí;28,2
430190;Barra do Ribeiro;32
430192;Barra do Rio Azul;10
430195;Barra Funda;32
430200;Barros Cassal;24,4
430205;Benjamin Constant do Sul;13
430210;Bento Gonçalves;36,2
430215;Boa Vista das Missões;31,1
430220;Boa Vista do Buricá;19,7
430222;Boa Vista do Cadeado;19,9
430223;Boa Vista do Incra;20,8
430225;Boa Vista do Sul;18,3
430230;Bom Jesus;27,7
430235;Bom Princípio;26,3
430237;Bom Progresso;32,8
430240;Bom Retiro do Sul;31,6
430245;Boqueirão do Leão;25,2
430250;Bossoroca;38,2
430258;Bozano;14
430260;Braga;28,2
430265;Brochier;20,9
430270;Butiá;44,2
430280;Caçapava do Sul;39,1
430290;Cacequi;31,8
430300;Cachoeira do Sul;36,2
430310;Cachoeirinha;41,1
430320;Cacique Doble;16,6
430330;Caibaté;26,6
430340;Caiçara;18,8
430350;Camaquã;27,9
430355;Camargo;14,9
430360;Cambará do Sul;34,7
430367;Campestre da Serra;39,6
430370;Campina das Missões;18,1
