Cod. Loc.;Divisões Territoriais;2010
330010;Angra dos Reis;36,4
330015;Aperibé;29,8
330020;Araruama;37,1
330022;Areal;43,5
330023;Armação dos Búzios;37,1
330025;Arraial do Cabo;38,4
330030;Barra do Piraí;39,4
330040;Barra Mansa;34,1
330045;Belford Roxo;41,5
330050;Bom Jardim;29,2
330060;Bom Jesus do Itabapoana;34,6
330070;Cabo Frio;40,1
330080;Cachoeiras de Macacu;38,4
330090;Cambuci;33,5
330093;Carapebus;32,7
330095;Comendador Levy Gasparian;38,2
330100;Campos dos Goytacazes;39,9
330110;Cantagalo;33,3
330115;Cardoso Moreira;39,6
330120;Carmo;45,8
330130;Casimiro de Abreu;42,9
330140;Conceição de Macabu;40,1
330150;Cordeiro;39,5
330160;Duas Barras;38
330170;Duque de Caxias;43,3
330180;Engenheiro Paulo de Frontin;36
330185;Guapimirim;34,3
330187;Iguaba Grande;38,4
330190;Itaboraí;40,4
330200;Itaguaí;36,5
330205;Italva;32,6
330210;Itaocara;34,5
330220;Itaperuna;34,2
330225;Itatiaia;35,4
330227;Japeri;39,4
330230;Laje do Muriaé;36,2
330240;Macaé;38,5
330245;Macuco;33,3
330250;Magé;43,6
330260;Mangaratiba;40
330270;Maricá;36,5
330280;Mendes;41,7
330285;Mesquita;41,8
330290;Miguel Pereira;38,9
330300;Miracema;37,9
330310;Natividade;43
330320;Nilópolis;44,5
330330;Niterói;43,8
330340;Nova Friburgo;40,3
330350;Nova Iguaçu;41,6
330360;Paracambi;35,6
330370;Paraíba do Sul;39
330380;Paraty;40,6
330385;Paty do Alferes;36,7
330390;Petrópolis;42,1
330395;Pinheiral;45
330400;Piraí;35,5
330410;Porciúncula;43,7
330411;Porto Real;35,5
330412;Quatis;32,5
330414;Queimados;43,5
330415;Quissamã;41,4
330420;Resende;37,9
330430;Rio Bonito;33
330440;Rio Claro;36,4
330450;Rio das Flores;43,7
330452;Rio das Ostras;34,4
330455;Rio de Janeiro;44,1
330460;Santa Maria Madalena;30,7
330470;Santo Antônio de Pádua;32,6
330475;São Francisco de Itabapoana;27,4
330480;São Fidélis;30,7
330490;São Gonçalo;39
330500;São João da Barra;34,5
330510;São João de Meriti;42,4
330513;São José de Ubá;20,3
330515;São José do Vale do Rio Preto;26,6
330520;São Pedro da Aldeia;34,5
330530;São Sebastião do Alto;30,2
330540;Sapucaia;39,1
330550;Saquarema;39,2
330555;Seropédica;40,9
330560;Silva Jardim;36,2
330570;Sumidouro;25,1
330575;Tanguá;32,7
330580;Teresópolis;39,6
330590;Trajano de Moraes;40,4
330600;Três Rios;42,4
330610;Valença;42,2
330615;Varre-Sai;31
330620;Vassouras;39,8
330630;Volta Redonda;36,9
33R;Rio de Janeiro - Rural;30,2
33U;Rio de Janeiro - Urbano;41,9
