Cod. Loc.,Divisões Territoriais,2010
280010,Amparo de São Francisco,"50,9"
280020,Aquidabã,"50,6"
280030,Aracaju,44
280040,Arauá,"44,5"
280050,Areia Branca,"44,1"
280060,Barra dos Coqueiros,"41,6"
280067,Boquim,"47,8"
280070,Brejo Grande,"48,5"
280100,Campo do Brito,"40,8"
280110,Canhoba,"44,6"
280120,Canindé de São Francisco,"47,5"
280130,Capela,"38,4"
280140,Carira,"47,3"
280150,Carmópolis,"40,4"
280160,Cedro de São João,"45,4"
280170,Cristinápolis,"45,3"
280190,Cumbe,"50,4"
280200,Divina Pastora,"42,1"
280210,Estância,"44,6"
280220,Feira Nova,"51,5"
280230,Frei Paulo,"44,2"
280240,Gararu,"54,4"
280250,General Maynard,"44,7"
280260,Gracho Cardoso,"51,9"
280270,Ilha das Flores,"56,4"
280280,Indiaroba,"51,6"
280290,Itabaiana,"40,8"
280300,Itabaianinha,"43,9"
280310,Itabi,"43,8"
280320,Itaporanga d'Ajuda,"44,4"
280330,Japaratuba,"45,2"
280340,Japoatã,"45,2"
280350,Lagarto,"44,3"
280360,Laranjeiras,"39,2"
280370,Macambira,"43,8"
280380,Malhada dos Bois,"44,3"
280390,Malhador,"45,8"
280400,Maruim,"40,7"
280410,Moita Bonita,44
280420,Monte Alegre de Sergipe,"48,2"
280430,Muribeca,"43,9"
280440,Neópolis,48
280445,Nossa Senhora Aparecida,"50,6"
280450,Nossa Senhora da Glória,"44,1"
280460,Nossa Senhora das Dores,"45,6"
280470,Nossa Senhora de Lourdes,"45,8"
280480,Nossa Senhora do Socorro,"42,6"
280490,Pacatuba,60
280500,Pedra Mole,"50,3"
280510,Pedrinhas,"49,5"
280520,Pinhão,44
280530,Pirambu,"45,2"
280540,Poço Redondo,"52,5"
280550,Poço Verde,"53,7"
280560,Porto da Folha,"47,3"
280570,Propriá,"43,6"
280580,Riachão do Dantas,"46,8"
280590,Riachuelo,"49,4"
280600,Ribeirópolis,"44,2"
280610,Rosário do Catete,"46,1"
280620,Salgado,"42,5"
280630,Santa Luzia do Itanhy,"49,2"
280640,Santana do São Francisco,"47,6"
280650,Santa Rosa de Lima,"49,9"
280660,Santo Amaro das Brotas,"44,4"
280670,São Cristóvão,"43,1"
280680,São Domingos,"44,9"
280690,São Francisco,"44,8"
280700,São Miguel do Aleixo,"48,8"
280710,Simão Dias,"48,2"
280720,Siriri,"38,9"
280730,Telha,"48,1"
280740,Tobias Barreto,"50,7"
280750,Tomar do Geru,"46,9"
280760,Umbaúba,"43,6"
