Cod. Loc.;Divisões Territoriais;2010
210005;Açailândia;75,2
210010;Afonso Cunha;54,8
210015;Água Doce do Maranhão;27,1
210020;Alcântara;29,3
210030;Aldeias Altas;56,9
210040;Altamira do Maranhão;41,4
210043;Alto Alegre do Maranhão;78,8
210047;Alto Alegre do Pindaré;31,6
210050;Alto Parnaíba;65,3
210055;Amapá do Maranhão;75,3
210060;Amarante do Maranhão;40,4
210070;Anajatuba;27,7
210080;Anapurus;51,4
210083;Apicum-Açu;61,2
210087;Araguanã;38,5
210090;Araioses;28,3
210095;Arame;39,6
210100;Arari;61,4
210110;Axixá;41,2
210120;Bacabal;77,8
210125;Bacabeira;22,3
210130;Bacuri;52,3
210135;Bacurituba;26,9
210140;Balsas;87,1
210150;Barão de Grajaú;57,9
210160;Barra do Corda;62,4
210170;Barreirinhas;40,6
210173;Belágua;50
210177;Bela Vista do Maranhão;42,9
210180;Benedito Leite;51,4
210190;Bequimão;32,5
210193;Bernardo do Mearim;38,8
210197;Boa Vista do Gurupi;70,7
210200;Bom Jardim;42
210203;Bom Jesus das Selvas;47,2
210207;Bom Lugar;28,2
210210;Brejo;37
210215;Brejo de Areia;51,2
210220;Buriti;31,1
210230;Buriti Bravo;74,3
210232;Buriticupu;54,9
210235;Buritirana;28
210237;Cachoeira Grande;44,9
210240;Cajapió;36,7
210250;Cajari;23,4
210255;Campestre do Maranhão;79,4
210260;Cândido Mendes;64,4
210270;Cantanhede;63,4
210275;Capinzal do Norte;52,4
210280;Carolina;67,8
210290;Carutapera;73,7
210300;Caxias;76,4
210310;Cedral;23,3
210312;Central do Maranhão;51,8
210315;Centro do Guilherme;56,3
210317;Centro Novo do Maranhão;31,3
210320;Chapadinha;72,1
210325;Cidelândia;44,1
210330;Codó;68,7
210340;Coelho Neto;82,8
210350;Colinas;65,4
210355;Conceição do Lago-Açu;47,6
210360;Coroatá;69,8
210370;Cururupu;68,2
210375;Davinópolis;83,4
210380;Dom Pedro;67,3
210390;Duque Bacelar;50,1
210400;Esperantinópolis;54,4
210405;Estreito;71,9
210407;Feira Nova do Maranhão;23,7
210408;Fernando Falcão;16,3
210409;Formosa da Serra Negra;33,3
210410;Fortaleza dos Nogueiras;60,3
210420;Fortuna;62,9
210430;Godofredo Viana;63,2
210440;Gonçalves Dias;44,4
210450;Governador Archer;65
210455;Governador Edison Lobão;43,8
210460;Governador Eugênio Barros;29,3
210462;Governador Luiz Rocha;70,7
210465;Governador Newton Bello;36
210467;Governador Nunes Freire;62,8
210470;Graça Aranha;47,4
210480;Grajaú;59,7
210490;Guimarães;57,2
210500;Humberto de Campos;40,1
210510;Icatu;31,1
210515;Igarapé do Meio;49,5
210520;Igarapé Grande;60,4
210530;Imperatriz;94,8
210535;Itaipava do Grajaú;30
210540;Itapecuru Mirim;55,8
210542;Itinga do Maranhão;70,9
210545;Jatobá;43,9
210547;Jenipapo dos Vieiras;16,3
210550;João Lisboa;75,2
210560;Joselândia;38,6
210565;Junco do Maranhão;70,1
210570;Lago da Pedra;65,2
210580;Lago do Junco;36,5
210590;Lago Verde;32,8
210592;Lagoa do Mato;40,7
210594;Lago dos Rodrigues;62,2
210596;Lagoa Grande do Maranhão;52,3
210598;Lajeado Novo;46,1
210600;Lima Campos;59,5
210610;Loreto;55,8
210620;Luís Domingues;84,5
210630;Magalhães de Almeida;51
210632;Maracaçumé;82,6
210635;Marajá do Sena;14,4
210637;Maranhãozinho;64,1
210640;Mata Roma;47,1
210650;Matinha;40,6
210660;Matões;44
210663;Matões do Norte;33,9
210667;Milagres do Maranhão;21,7
210670;Mirador;45,8
210675;Miranda do Norte;79,9
210680;Mirinzal;63,5
210690;Monção;37,1
210700;Montes Altos;54,5
210710;Morros;37,8
210720;Nina Rodrigues;35,6
210725;Nova Colinas;45,2
210730;Nova Iorque;62,7
210735;Nova Olinda do Maranhão;62
210740;Olho d'Água das Cunhãs;51,6
210745;Olinda Nova do Maranhão;45,4
210750;Paço do Lumiar;75
210760;Palmeirândia;18,4
210770;Paraibano;78,3
210780;Parnarama;39,1
210790;Passagem Franca;59,6
210800;Pastos Bons;68,1
210805;Paulino Neves;32,1
210810;Paulo Ramos;53,9
210820;Pedreiras;83,5
210825;Pedro do Rosário;25,9
210830;Penalva;48,4
210840;Peri Mirim;26,6
210845;Peritoró;36,6
210850;Pindaré-Mirim;72
210860;Pinheiro;59,5
210870;Pio XII;56,6
210880;Pirapemas;63,5
210890;Poção de Pedras;42,5
210900;Porto Franco;78,3
210905;Porto Rico do Maranhão;40
210910;Presidente Dutra;71,5
210920;Presidente Juscelino;35,7
210923;Presidente Médici;61,2
210927;Presidente Sarney;25
210930;Presidente Vargas;42,7
210940;Primeira Cruz;30,7
210945;Raposa;63,3
210950;Riachão;50,5
210955;Ribamar Fiquene;50,2
210960;Rosário;58,8
210970;Sambaíba;51,7
210975;Santa Filomena do Maranhão;32,5
210980;Santa Helena;50,1
210990;Santa Inês;94,7
211000;Santa Luzia;34,8
211003;Santa Luzia do Paruá;55,6
211010;Santa Quitéria do Maranhão;48,4
211020;Santa Rita;46,1
211023;Santana do Maranhão;15,8
211027;Santo Amaro do Maranhão;26,3
211030;Santo Antônio dos Lopes;40,1
211040;São Benedito do Rio Preto;62,1
211050;São Bento;57,7
211060;São Bernardo;44,6
211065;São Domingos do Azeitão;71
211070;São Domingos do Maranhão;51,5
211080;São Félix de Balsas;34,6
211085;São Francisco do Brejão;47,1
211090;São Francisco do Maranhão;33,8
211100;São João Batista;26,8
211102;São João do Carú;51,4
211105;São João do Paraíso;48,8
211107;São João do Soter;38,6
211110;São João dos Patos;82,5
211120;São José de Ribamar;23,1
211125;São José dos Basílios;40,1
211130;São Luís;94,5
211140;São Luís Gonzaga do Maranhão;39,2
211150;São Mateus do Maranhão;73,4
211153;São Pedro da Água Branca;89,1
211157;São Pedro dos Crentes;55,1
211160;São Raimundo das Mangabeiras;71,7
211163;São Raimundo do Doca Bezerra;28,4
211167;São Roberto;47,8
211170;São Vicente Ferrer;26
211172;Satubinha;30,3
211174;Senador Alexandre Costa;60,1
211176;Senador La Rocque;48,6
211178;Serrano do Maranhão;38,6
211180;Sítio Novo;30,2
211190;Sucupira do Norte;47,3
211195;Sucupira do Riachão;62
211200;Tasso Fragoso;59,6
211210;Timbiras;62,4
211220;Timon;86,9
211223;Trizidela do Vale;85,3
211227;Tufilândia;48,8
211230;Tuntum;45,8
211240;Turiaçu;32,2
211245;Turilândia;45,3
211250;Tutóia;35,4
211260;Urbano Santos;70,7
211270;Vargem Grande;54
211280;Viana;54,4
211285;Vila Nova dos Martírios;55
211290;Vitória do Mearim;47,4
211300;Vitorino Freire;51,1
211400;Zé Doca;61,5
