Cod. Loc.;Divisões Territoriais;2010
220005;Acauã;13,4
220010;Agricolândia;70,7
220020;Água Branca;88,4
220025;Alagoinha do Piauí;36,4
220027;Alegrete do Piauí;55,1
220030;Alto Longá;49,2
220040;Altos;70,5
220045;Alvorada do Gurguéia;36,6
220050;Amarante;51,2
220060;Angical do Piauí;78,1
220070;Anísio de Abreu;49,5
220080;Antônio Almeida;73,2
220090;Aroazes;59,4
220095;Aroeiras do Itaim;9,8
220100;Arraial;51,9
220105;Assunção do Piauí;45
220110;Avelino Lopes;60,7
220115;Baixa Grande do Ribeiro;61,7
220117;Barra D'Alcântara;52,8
220120;Barras;49,3
220130;Barreiras do Piauí;58
220140;Barro Duro;72,5
220150;Batalha;37,3
220155;Bela Vista do Piauí;32,9
220157;Belém do Piauí;48,8
220160;Beneditinos;63,2
220170;Bertolínia;73,2
220173;Betânia do Piauí;27,9
220177;Boa Hora;24,2
220180;Bocaina;40
220190;Bom Jesus;77,9
220191;Bom Princípio do Piauí;31,2
220192;Bonfim do Piauí;30,3
220194;Boqueirão do Piauí;43
220196;Brasileira;43,7
220198;Brejo do Piauí;37
220200;Buriti dos Lopes;54
220202;Buriti dos Montes;30,4
220205;Cabeceiras do Piauí;16,7
220207;Cajazeiras do Piauí;33,3
220208;Cajueiro da Praia;38,8
220209;Caldeirão Grande do Piauí;29,3
220210;Campinas do Piauí;33,4
220211;Campo Alegre do Fidalgo;26,1
220213;Campo Grande do Piauí;28,1
220217;Campo Largo do Piauí;21
220220;Campo Maior;74,2
220225;Canavieira;44,3
220230;Canto do Buriti;55,6
220240;Capitão de Campos;57,9
220245;Capitão Gervásio Oliveira;30
220250;Caracol;39,4
220253;Caraúbas do Piauí;17,6
220255;Caridade do Piauí;32,7
220260;Castelo do Piauí;62,6
220265;Caxingó;19,2
220270;Cocal;46,2
220271;Cocal de Telha;58,9
220272;Cocal dos Alves;32
220273;Coivaras;30,8
220275;Colônia do Gurguéia;80,4
220277;Colônia do Piauí;35,6
220280;Conceição do Canindé;52,8
220285;Coronel José Dias;32,8
220290;Corrente;61,8
220300;Cristalândia do Piauí;37,6
220310;Cristino Castro;72,8
220320;Curimatá;65,8
220323;Currais;19,6
220325;Curralinhos;31,8
220327;Curral Novo do Piauí;28,3
220330;Demerval Lobão;81,9
220335;Dirceu Arcoverde;35,5
220340;Dom Expedito Lopes;54,4
220342;Domingos Mourão;22,5
220345;Dom Inocêncio;21,8
220350;Elesbão Veloso;69,8
220360;Eliseu Martins;81,9
220370;Esperantina;61,3
220375;Fartura do Piauí;27
220380;Flores do Piauí;45,5
220385;Floresta do Piauí;34,7
220390;Floriano;86,6
220400;Francinópolis;62,6
220410;Francisco Ayres;48,1
220415;Francisco Macedo;40,3
220420;Francisco Santos;46,3
220430;Fronteiras;65,6
220435;Geminiano;22,2
220440;Gilbués;57,6
220450;Guadalupe;95,9
220455;Guaribas;29
220460;Hugo Napoleão;82,2
220465;Ilha Grande;83,5
220470;Inhuma;49
220480;Ipiranga do Piauí;61,6
220490;Isaías Coelho;22,7
220500;Itainópolis;22,8
220510;Itaueira;55,7
220515;Jacobina do Piauí;17,9
220520;Jaicós;47,2
220525;Jardim do Mulato;27,5
220527;Jatobá do Piauí;19,1
220530;Jerumenha;56,2
220535;João Costa;23,7
220540;Joaquim Pires;30,8
220545;Joca Marques;32,9
220550;José de Freitas;58,2
220551;Juazeiro do Piauí;31,1
220552;Júlio Borges;30,1
220553;Jurema;19,2
220554;Lagoinha do Piauí;59,6
220555;Lagoa Alegre;38
220556;Lagoa do Barro do Piauí;22
220557;Lagoa de São Francisco;32,6
220558;Lagoa do Piauí;43,3
220559;Lagoa do Sítio;35,5
220560;Landri Sales;74,9
220570;Luís Correia;44,5
220580;Luzilândia;53,7
220585;Madeiro;43
220590;Manoel Emídio;63,6
220595;Marcolândia;85,9
220600;Marcos Parente;86,3
220605;Massapê do Piauí;15
220610;Matias Olímpio;45,8
220620;Miguel Alves;33,2
220630;Miguel Leão;68,8
220635;Milton Brandão;25,1
220640;Monsenhor Gil;51,4
220650;Monsenhor Hipólito;47,2
220660;Monte Alegre do Piauí;28,8
220665;Morro Cabeça no Tempo;34,5
220667;Morro do Chapéu do Piauí;35,4
220669;Murici dos Portelas;20
220670;Nazaré do Piauí;47,8
220672;Nazária;20,5
220675;Nossa Senhora de Nazaré;29,9
220680;Nossa Senhora dos Remédios;45
220690;Novo Oriente do Piauí;50,5
220695;Novo Santo Antônio;28,1
220700;Oeiras;61,7
220710;Olho D'Água do Piauí;40,5
220720;Padre Marcos;35,3
220730;Paes Landim;58,5
220735;Pajeú do Piauí;42,4
220740;Palmeira do Piauí;35,3
220750;Palmeirais;38,9
220755;Paquetá;13,4
220760;Parnaguá;52
220770;Parnaíba;94,4
220775;Passagem Franca do Piauí;54,6
220777;Patos do Piauí;27,7
