 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Município e Faixa Etária
Sexo: Fem
Período:2010
"Município";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"110001 Alta Floresta D'Oeste";-;1;-;-;-;-;-;-;1;-;-;-;-;2
"110037 Alto Alegre dos Parecis";-;-;-;-;-;-;-;2;-;-;-;-;-;2
"110040 Alto Paraíso";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110034 Alvorada D'Oeste";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"110002 Ariquemes";1;-;1;-;-;-;1;3;1;3;-;-;-;10
"110045 Buritis";-;-;1;-;-;-;2;1;1;-;-;1;1;7
"110003 Cabixi";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110060 Cacaulândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110004 Cacoal";-;-;-;-;1;3;1;1;3;2;-;1;-;12
"110070 Campo Novo de Rondônia";-;-;-;-;-;-;-;-;1;1;-;-;-;2
"110080 Candeias do Jamari";-;-;-;-;-;-;1;-;1;-;1;-;-;3
"110090 Castanheiras";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"110005 Cerejeiras";-;-;-;-;1;1;-;1;-;-;-;-;-;3
"110092 Chupinguaia";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110006 Colorado do Oeste";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"110007 Corumbiara";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110008 Costa Marques";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"110094 Cujubim";-;-;-;-;-;1;1;-;-;-;-;1;-;3
"110009 Espigão D'Oeste";-;1;-;-;-;-;1;-;1;-;-;-;-;3
"110100 Governador Jorge Teixeira";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110010 Guajará-Mirim";-;2;1;1;-;1;1;2;1;-;-;-;-;9
"110110 Itapuã do Oeste";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"110011 Jaru";-;-;-;-;-;2;3;-;1;-;-;1;-;7
"110012 Ji-Paraná";2;-;-;1;1;6;1;4;1;1;2;-;-;19
"110013 Machadinho D'Oeste";-;-;1;-;1;-;-;-;-;-;-;-;-;2
"110120 Ministro Andreazza";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"110130 Mirante da Serra";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110140 Monte Negro";-;-;-;-;-;-;1;-;1;-;-;-;-;2
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"110033 Nova Mamoré";-;1;2;-;1;-;1;1;-;-;1;-;-;7
"110143 Nova União";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"110050 Novo Horizonte do Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110015 Ouro Preto do Oeste";-;-;-;-;1;-;1;-;-;-;-;-;-;2
"110145 Parecis";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"110018 Pimenta Bueno";-;-;-;2;1;1;4;1;-;1;-;1;-;11
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110020 Porto Velho";-;4;3;1;9;13;14;6;13;3;8;9;-;83
"110025 Presidente Médici";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"110147 Primavera de Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110026 Rio Crespo";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"110028 Rolim de Moura";-;-;-;-;1;2;3;3;-;-;-;-;-;9
"110029 Santa Luzia D'Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110148 São Felipe D'Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110149 São Francisco do Guaporé";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"110032 São Miguel do Guaporé";-;-;-;-;1;1;1;-;1;-;1;-;-;5
"110150 Seringueiras";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"110155 Teixeirópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110160 Theobroma";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"110170 Urupá";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110175 Vale do Anari";-;-;-;-;-;-;-;-;-;1;-;1;-;2
"110180 Vale do Paraíso";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110030 Vilhena";1;-;1;-;-;1;3;2;2;-;-;-;-;10
"110000 Município ignorado - RO";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"120001 Acrelândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"120005 Assis Brasil";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"120010 Brasiléia";1;-;-;1;-;1;-;-;-;1;-;1;-;5
"120013 Bujari";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"120017 Capixaba";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"120020 Cruzeiro do Sul";1;-;1;1;-;2;2;-;-;1;1;1;-;10
"120025 Epitaciolândia";-;-;1;-;-;-;1;-;-;-;-;-;-;2
"120030 Feijó";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"120032 Jordão";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"120033 Mâncio Lima";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"120034 Manoel Urbano";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"120035 Marechal Thaumaturgo";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"120038 Plácido de Castro";-;-;-;-;-;2;-;1;-;-;-;-;-;3
"120080 Porto Acre";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"120039 Porto Walter";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"120040 Rio Branco";-;3;2;4;4;12;9;2;3;6;1;4;-;50
"120042 Rodrigues Alves";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"120043 Santa Rosa do Purus";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"120050 Sena Madureira";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"120045 Senador Guiomard";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"120060 Tarauacá";-;-;1;-;-;1;-;1;-;-;-;-;-;3
"120070 Xapuri";-;1;1;-;-;-;-;-;-;-;-;-;-;2
"120000 Município ignorado - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130002 Alvarães";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"130006 Amaturá";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130008 Anamã";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130010 Anori";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130014 Apuí";-;-;-;-;-;-;-;-;1;-;-;1;-;2
"130020 Atalaia do Norte";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130030 Autazes";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"130040 Barcelos";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130050 Barreirinha";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130060 Benjamin Constant";-;-;1;1;-;-;-;-;-;-;-;-;-;2
"130063 Beruri";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"130068 Boa Vista do Ramos";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130070 Boca do Acre";1;-;1;-;1;-;-;-;1;-;-;1;-;5
"130080 Borba";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130083 Caapiranga";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130090 Canutama";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130100 Carauari";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130110 Careiro";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"130115 Careiro da Várzea";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"130120 Coari";-;1;1;1;-;4;-;-;-;-;-;-;-;7
"130130 Codajás";-;-;-;-;-;1;-;-;-;-;1;-;-;2
"130140 Eirunepé";-;1;-;-;2;-;-;-;-;-;-;-;-;3
"130150 Envira";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130160 Fonte Boa";-;-;-;-;-;2;-;1;-;-;-;-;-;3
"130165 Guajará";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130170 Humaitá";-;1;-;-;2;1;-;-;-;1;1;1;-;7
"130180 Ipixuna";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130185 Iranduba";-;-;-;-;1;1;1;-;-;-;-;-;-;3
"130190 Itacoatiara";-;-;-;-;1;-;2;-;-;-;-;-;-;3
"130195 Itamarati";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130200 Itapiranga";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"130210 Japurá";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130220 Juruá";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130230 Jutaí";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130240 Lábrea";-;1;-;-;2;1;-;-;-;-;-;-;-;4
"130250 Manacapuru";2;1;1;-;1;2;-;-;1;-;-;-;-;8
"130255 Manaquiri";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130260 Manaus";1;8;7;7;27;35;32;25;17;11;15;18;-;203
"130270 Manicoré";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130280 Maraã";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130290 Maués";-;1;1;-;-;-;-;-;-;-;-;-;-;2
"130300 Nhamundá";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130310 Nova Olinda do Norte";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130320 Novo Airão";-;-;1;-;-;-;-;1;-;-;-;-;1;3
"130330 Novo Aripuanã";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"130340 Parintins";-;-;1;1;-;-;2;-;1;1;-;-;-;6
"130350 Pauini";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"130353 Presidente Figueiredo";-;-;-;-;-;1;-;-;-;1;-;-;-;2
"130356 Rio Preto da Eva";-;-;-;-;-;-;2;-;-;-;-;-;-;2
"130360 Santa Isabel do Rio Negro";-;-;-;-;-;-;1;-;-;1;-;-;-;2
"130370 Santo Antônio do Içá";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"130380 São Gabriel da Cachoeira";-;-;-;1;3;2;-;1;1;1;-;-;-;9
"130390 São Paulo de Olivença";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130395 São Sebastião do Uatumã";-;-;-;1;-;-;-;-;-;-;-;1;-;2
