Município;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Idade ignorada;Total
110001 Alta Floresta D'Oeste;-;-;-;-;1;-;-;-;-;-;-;-;-;1
110037 Alto Alegre dos Parecis;-;-;-;-;-;1;-;-;-;-;-;1;-;2
110040 Alto Paraíso;-;-;-;-;-;1;1;-;1;-;-;-;-;3
110034 Alvorada D'Oeste;-;-;-;-;-;1;-;-;1;-;-;-;-;2
110002 Ariquemes;-;-;-;-;1;-;3;-;1;1;1;1;-;8
110045 Buritis;-;1;-;2;-;3;1;1;1;-;-;-;1;10
110003 Cabixi;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110060 Cacaulândia;-;-;-;-;-;1;-;-;-;-;-;-;-;1
110004 Cacoal;-;-;2;-;-;3;1;3;1;1;-;3;-;14
110070 Campo Novo de Rondônia;1;-;-;-;-;1;-;-;-;-;-;-;-;2
110080 Candeias do Jamari;-;-;-;-;1;2;-;1;-;-;1;-;-;5
110090 Castanheiras;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110005 Cerejeiras;-;-;-;-;-;1;-;-;-;-;-;-;-;1
110092 Chupinguaia;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110006 Colorado do Oeste;-;-;-;-;1;-;-;-;-;-;-;-;-;1
110007 Corumbiara;-;-;-;-;-;1;-;-;-;-;-;-;-;1
110008 Costa Marques;-;-;-;1;-;-;-;-;1;-;-;-;-;2
110094 Cujubim;-;-;-;-;-;1;1;-;-;-;-;-;-;2
110009 Espigão D'Oeste;1;-;-;-;1;-;-;-;-;-;-;-;-;2
110100 Governador Jorge Teixeira;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110010 Guajará-Mirim;-;-;-;-;-;2;1;-;1;1;-;-;-;5
110110 Itapuã do Oeste;-;-;-;-;-;-;1;-;-;-;-;-;-;1
110011 Jaru;-;1;-;-;1;6;2;3;1;-;1;1;-;16
110012 Ji-Paraná;-;-;-;-;-;2;1;2;2;-;1;1;-;9
110013 Machadinho D'Oeste;-;-;-;-;1;1;-;2;1;-;-;-;-;5
110120 Ministro Andreazza;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110130 Mirante da Serra;-;-;-;-;-;1;-;-;-;-;-;-;-;1
110140 Monte Negro;-;-;-;-;1;1;1;-;-;-;-;-;-;3
110014 Nova Brasilândia D'Oeste;-;-;-;-;1;-;-;-;-;-;-;-;-;1
110033 Nova Mamoré;-;-;-;-;-;-;-;-;-;-;-;1;-;1
110143 Nova União;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110050 Novo Horizonte do Oeste;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110015 Ouro Preto do Oeste;-;-;-;-;-;1;-;3;-;-;-;1;-;5
110145 Parecis;-;-;-;-;-;-;-;-;-;1;-;-;-;1
110018 Pimenta Bueno;-;-;-;-;1;1;-;3;-;-;1;-;-;6
110146 Pimenteiras do Oeste;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110020 Porto Velho;-;2;4;3;10;19;13;10;9;7;3;4;1;85
110025 Presidente Médici;-;-;-;-;1;1;2;-;1;-;-;-;-;5
110147 Primavera de Rondônia;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110026 Rio Crespo;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110028 Rolim de Moura;-;-;-;-;-;-;2;-;1;-;1;-;-;4
110029 Santa Luzia D'Oeste;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110148 São Felipe D'Oeste;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110149 São Francisco do Guaporé;-;-;-;-;1;-;1;1;-;-;-;-;-;3
110032 São Miguel do Guaporé;1;-;-;-;-;-;3;-;1;-;-;-;-;5
110150 Seringueiras;-;1;-;-;-;1;-;-;-;-;-;-;-;2
110155 Teixeirópolis;-;-;-;-;1;-;-;-;-;-;-;-;-;1
110160 Theobroma;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110170 Urupá;-;-;-;-;-;-;-;1;-;-;-;-;-;1
110175 Vale do Anari;-;-;-;-;-;-;1;1;1;-;-;-;-;3
110180 Vale do Paraíso;-;-;-;-;-;-;-;-;-;-;-;1;-;1
110030 Vilhena;-;-;1;1;1;3;1;1;1;-;-;-;-;9
110000 Município ignorado - RO;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120001 Acrelândia;-;-;1;-;-;-;1;-;-;-;-;-;-;2
120005 Assis Brasil;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120010 Brasiléia;-;-;-;1;-;1;-;1;-;-;1;-;-;4
120013 Bujari;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120017 Capixaba;-;-;1;-;1;-;-;-;1;-;-;-;-;3
120020 Cruzeiro do Sul;-;-;-;-;-;2;2;-;1;-;1;-;-;6
120025 Epitaciolândia;-;-;-;-;-;-;-;1;1;-;-;1;-;3
120030 Feijó;-;-;-;-;3;-;-;-;1;-;1;-;-;5
120032 Jordão;4;-;-;-;-;-;-;-;-;-;-;-;-;4
120033 Mâncio Lima;-;-;-;-;1;1;-;-;1;-;-;-;-;3
120034 Manoel Urbano;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120035 Marechal Thaumaturgo;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120038 Plácido de Castro;-;-;-;-;-;-;1;1;-;-;-;-;-;2
