 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Município e Cor/raça
Sexo: Fem
Período:2010
"Município";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"110001 Alta Floresta D'Oeste";1;-;-;1;-;-;2
"110037 Alto Alegre dos Parecis";2;-;-;-;-;-;2
"110040 Alto Paraíso";-;-;-;-;-;-;-
"110034 Alvorada D'Oeste";1;-;-;1;-;-;2
"110002 Ariquemes";3;-;1;6;-;-;10
"110045 Buritis";3;1;-;3;-;-;7
"110003 Cabixi";-;-;-;-;-;-;-
"110060 Cacaulândia";-;-;-;-;-;-;-
"110004 Cacoal";10;-;-;2;-;-;12
"110070 Campo Novo de Rondônia";1;-;-;1;-;-;2
"110080 Candeias do Jamari";-;1;-;2;-;-;3
"110090 Castanheiras";1;-;-;-;-;-;1
"110005 Cerejeiras";-;1;-;2;-;-;3
"110092 Chupinguaia";-;-;-;-;-;-;-
"110006 Colorado do Oeste";-;-;-;-;-;1;1
"110007 Corumbiara";-;-;-;-;-;-;-
"110008 Costa Marques";1;-;-;-;-;-;1
"110094 Cujubim";-;-;-;2;-;1;3
"110009 Espigão D'Oeste";2;-;-;-;-;1;3
"110100 Governador Jorge Teixeira";-;-;-;-;-;-;-
"110010 Guajará-Mirim";-;-;-;9;-;-;9
"110110 Itapuã do Oeste";1;-;-;-;-;-;1
"110011 Jaru";4;-;-;3;-;-;7
"110012 Ji-Paraná";7;2;-;8;-;2;19
"110013 Machadinho D'Oeste";1;-;-;1;-;-;2
"110120 Ministro Andreazza";1;-;-;-;-;-;1
"110130 Mirante da Serra";-;-;-;-;-;-;-
"110140 Monte Negro";-;-;-;1;-;1;2
"110014 Nova Brasilândia D'Oeste";-;-;-;1;-;-;1
"110033 Nova Mamoré";2;-;-;5;-;-;7
"110143 Nova União";1;-;-;-;-;-;1
"110050 Novo Horizonte do Oeste";-;-;-;-;-;-;-
"110015 Ouro Preto do Oeste";1;-;-;1;-;-;2
"110145 Parecis";1;-;-;-;-;-;1
"110018 Pimenta Bueno";6;1;-;4;-;-;11
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-
"110020 Porto Velho";26;4;-;51;-;2;83
"110025 Presidente Médici";-;-;-;1;-;-;1
"110147 Primavera de Rondônia";-;-;-;-;-;-;-
"110026 Rio Crespo";1;-;-;-;-;-;1
"110028 Rolim de Moura";4;1;-;4;-;-;9
"110029 Santa Luzia D'Oeste";-;-;-;-;-;-;-
"110148 São Felipe D'Oeste";-;-;-;-;-;-;-
"110149 São Francisco do Guaporé";-;-;-;1;-;-;1
"110032 São Miguel do Guaporé";2;1;-;2;-;-;5
"110150 Seringueiras";1;-;-;-;-;-;1
"110155 Teixeirópolis";-;-;-;-;-;-;-
"110160 Theobroma";1;-;-;-;-;1;2
"110170 Urupá";-;-;-;-;-;-;-
"110175 Vale do Anari";1;-;-;1;-;-;2
"110180 Vale do Paraíso";-;-;-;-;-;-;-
"110030 Vilhena";5;-;-;5;-;-;10
"110000 Município ignorado - RO";1;-;-;-;-;-;1
"120001 Acrelândia";-;-;-;-;-;-;-
"120005 Assis Brasil";-;-;-;1;-;-;1
"120010 Brasiléia";2;-;-;2;-;1;5
"120013 Bujari";-;-;-;-;-;-;-
"120017 Capixaba";-;-;-;-;-;-;-
"120020 Cruzeiro do Sul";2;-;-;6;-;2;10
"120025 Epitaciolândia";-;-;-;2;-;-;2
"120030 Feijó";-;-;-;1;-;-;1
"120032 Jordão";-;-;-;-;-;-;-
"120033 Mâncio Lima";-;-;-;-;-;1;1
"120034 Manoel Urbano";-;-;-;-;-;-;-
"120035 Marechal Thaumaturgo";-;-;-;-;-;-;-
"120038 Plácido de Castro";-;-;-;3;-;-;3
"120080 Porto Acre";-;-;-;1;-;-;1
"120039 Porto Walter";-;-;-;-;-;-;-
"120040 Rio Branco";11;-;1;23;-;15;50
"120042 Rodrigues Alves";-;-;-;1;-;-;1
"120043 Santa Rosa do Purus";-;-;-;-;-;-;-
"120050 Sena Madureira";-;-;-;2;-;-;2
"120045 Senador Guiomard";-;-;-;-;-;-;-
"120060 Tarauacá";-;1;-;2;-;-;3
"120070 Xapuri";-;-;-;2;-;-;2
"120000 Município ignorado - AC";-;-;-;-;-;-;-
"130002 Alvarães";-;-;-;1;-;-;1
"130006 Amaturá";-;-;-;-;-;-;-
"130008 Anamã";-;-;-;-;-;-;-
"130010 Anori";-;-;-;-;-;-;-
"130014 Apuí";2;-;-;-;-;-;2
"130020 Atalaia do Norte";-;-;-;1;-;-;1
"130030 Autazes";-;-;-;1;-;-;1
"130040 Barcelos";-;-;-;-;-;-;-
"130050 Barreirinha";-;-;-;-;-;-;-
"130060 Benjamin Constant";-;-;-;1;1;-;2
"130063 Beruri";-;-;-;1;-;-;1
"130068 Boa Vista do Ramos";-;-;-;-;-;-;-
"130070 Boca do Acre";1;-;-;3;-;1;5
"130080 Borba";-;-;-;-;1;-;1
"130083 Caapiranga";-;-;-;-;-;-;-
"130090 Canutama";-;-;-;-;-;-;-
"130100 Carauari";-;-;-;-;-;-;-
"130110 Careiro";1;-;-;1;-;-;2
"130115 Careiro da Várzea";-;-;-;1;-;-;1
"130120 Coari";-;-;-;5;-;2;7
"130130 Codajás";2;-;-;-;-;-;2
"130140 Eirunepé";1;-;-;2;-;-;3
"130150 Envira";-;-;-;-;-;-;-
"130160 Fonte Boa";-;-;-;3;-;-;3
"130165 Guajará";-;-;-;-;-;-;-
"130170 Humaitá";1;-;-;6;-;-;7
"130180 Ipixuna";-;-;-;-;-;-;-
"130185 Iranduba";-;-;-;3;-;-;3
"130190 Itacoatiara";-;1;-;2;-;-;3
"130195 Itamarati";-;-;-;-;-;-;-
"130200 Itapiranga";-;-;-;1;-;-;1
"130210 Japurá";-;-;-;-;-;-;-
"130220 Juruá";-;-;-;-;-;-;-
"130230 Jutaí";-;-;-;-;-;-;-
"130240 Lábrea";-;-;-;4;-;-;4
"130250 Manacapuru";1;-;-;7;-;-;8
"130255 Manaquiri";-;-;-;1;-;-;1
"130260 Manaus";25;4;1;167;1;5;203
"130270 Manicoré";-;-;-;-;-;-;-
"130280 Maraã";-;-;-;-;-;-;-
"130290 Maués";-;-;-;2;-;-;2
"130300 Nhamundá";-;-;-;-;-;-;-
"130310 Nova Olinda do Norte";-;-;-;1;-;-;1
"130320 Novo Airão";-;-;-;3;-;-;3
"130330 Novo Aripuanã";-;-;-;1;-;-;1
"130340 Parintins";2;-;-;4;-;-;6
"130350 Pauini";-;-;-;1;-;-;1
"130353 Presidente Figueiredo";-;-;-;2;-;-;2
"130356 Rio Preto da Eva";1;-;-;1;-;-;2
"130360 Santa Isabel do Rio Negro";-;-;-;-;2;-;2
"130370 Santo Antônio do Içá";-;-;-;1;-;-;1
"130380 São Gabriel da Cachoeira";-;-;-;-;9;-;9
"130390 São Paulo de Olivença";-;-;-;-;-;-;-
"130395 São Sebastião do Uatumã";-;-;-;2;-;-;2
"130400 Silves";-;-;-;-;-;-;-
"130406 Tabatinga";-;-;-;2;5;-;7
"130410 Tapauá";1;-;-;-;-;-;1
"130420 Tefé";-;-;-;8;-;-;8
"130423 Tonantins";-;-;-;-;-;-;-
"130426 Uarini";-;-;-;1;-;-;1
"130430 Urucará";1;-;-;-;-;-;1
"130440 Urucurituba";-;-;-;-;-;-;-
"130000 Município ignorado - AM";-;-;-;-;-;-;-
"140005 Alto Alegre";-;-;-;-;-;-;-
"140002 Amajari";-;-;-;-;-;-;-
"140010 Boa Vista";8;1;-;32;4;-;45
"140015 Bonfim";1;-;-;2;-;-;3
"140017 Cantá";-;-;-;2;2;-;4
"140020 Caracaraí";1;-;-;3;-;-;4
"140023 Caroebe";-;-;-;-;-;-;-
"140028 Iracema";-;-;-;1;-;-;1
"140030 Mucajaí";-;-;-;1;-;-;1
"140040 Normandia";-;-;-;1;-;-;1
"140045 Pacaraima";-;-;-;-;1;-;1
"140047 Rorainópolis";-;-;-;2;-;-;2
"140050 São João da Baliza";-;-;-;3;-;-;3
"140060 São Luiz";-;-;-;2;-;-;2
"140070 Uiramutã";-;-;-;-;-;-;-
"140000 Município ignorado - RR";-;-;-;-;-;-;-
"150010 Abaetetuba";2;2;-;10;-;-;14
"150013 Abel Figueiredo";-;-;-;1;-;-;1
"150020 Acará";-;-;-;1;-;-;1
"150030 Afuá";-;-;-;1;-;-;1
"150034 Água Azul do Norte";1;-;-;1;-;-;2
"150040 Alenquer";1;-;-;2;-;-;3
"150050 Almeirim";-;-;-;1;-;-;1
"150060 Altamira";-;1;-;9;1;1;12
"150070 Anajás";-;-;-;2;-;-;2
"150080 Ananindeua";10;1;-;53;-;1;65
"150085 Anapu";1;-;-;-;-;-;1
"150090 Augusto Corrêa";-;-;-;-;-;-;-
"150095 Aurora do Pará";-;-;-;2;-;-;2
"150100 Aveiro";-;-;-;1;-;-;1
"150110 Bagre";-;-;-;-;-;-;-
"150120 Baião";-;-;-;1;-;-;1
"150125 Bannach";-;-;-;1;-;-;1
"150130 Barcarena";1;1;-;6;-;1;9
"150140 Belém";16;10;1;97;2;-;126
"150145 Belterra";-;-;-;2;-;-;2
"150150 Benevides";-;-;-;3;1;1;5
"150157 Bom Jesus do Tocantins";-;-;-;-;-;-;-
"150160 Bonito";-;-;-;-;-;-;-
"150170 Bragança";-;1;-;8;-;-;9
"150172 Brasil Novo";-;-;-;1;-;-;1
"150175 Brejo Grande do Araguaia";-;-;-;3;-;-;3
"150178 Breu Branco";1;-;-;3;-;-;4
"150180 Breves";1;-;-;8;-;-;9
"150190 Bujaru";-;-;-;2;-;-;2
"150200 Cachoeira do Arari";-;-;-;-;-;-;-
"150195 Cachoeira do Piriá";-;-;-;1;-;-;1
"150210 Cametá";1;1;-;5;-;-;7
"150215 Canaã dos Carajás";-;-;-;4;-;-;4
"150220 Capanema";-;-;-;-;-;1;1
"150230 Capitão Poço";1;-;-;5;-;-;6
"150240 Castanhal";1;-;2;13;-;3;19
"150250 Chaves";-;-;-;-;-;-;-
"150260 Colares";-;-;-;1;-;-;1
"150270 Conceição do Araguaia";1;-;-;3;-;-;4
"150275 Concórdia do Pará";-;-;-;1;-;-;1
"150276 Cumaru do Norte";-;1;-;-;-;-;1
"150277 Curionópolis";-;-;-;3;-;-;3
"150280 Curralinho";-;-;-;1;-;-;1
"150285 Curuá";-;-;-;-;-;-;-
"150290 Curuçá";-;-;-;-;-;-;-
"150293 Dom Eliseu";2;-;-;1;-;-;3
"150295 Eldorado do Carajás";1;1;-;2;-;-;4
"150300 Faro";-;-;-;1;-;-;1
"150304 Floresta do Araguaia";1;-;-;3;-;-;4
"150307 Garrafão do Norte";-;-;-;1;-;-;1
"150309 Goianésia do Pará";1;-;-;2;-;-;3
