municipio;Total;Branca;Preta;Amarela;Parda;Indígena;n_declarado
Alta Floresta D'Oeste (RO);11736;5038;466;83;5946;203;-
Ariquemes (RO);44810;16921;3329;803;23662;93;2
Cabixi (RO);3047;1451;209;47;1340;-;-
Cacoal (RO);39450;17324;1997;547;18937;645;-
Cerejeiras (RO);8478;3953;491;96;3932;6;-
Colorado do Oeste (RO);9261;3899;604;132;4622;4;-
Corumbiara (RO);4072;1532;277;60;2196;7;-
Costa Marques (RO);6476;2074;472;67;3752;111;-
Espigão D'Oeste (RO);14123;6548;761;224;6401;189;-
Guajará-Mirim (RO);20709;4514;1384;338;12539;1934;-
Jaru (RO);26000;8755;1942;358;14911;34;-
Ji-Paraná (RO);58786;23827;3378;967;30038;576;-
Machadinho D'Oeste (RO);14599;4715;988;181;8700;15;-
Nova Brasilândia D'Oeste (RO);9530;3964;556;97;4881;32;-
Ouro Preto do Oeste (RO);19230;7205;1346;218;10402;59;-
Pimenta Bueno (RO);16781;6817;792;270;8739;163;-
Porto Velho (RO);210909;63575;13092;4199;129292;730;21
Presidente Médici (RO);11010;4388;468;139;6004;11;-
Rio Crespo (RO);1549;676;82;9;782;-;-
Rolim de Moura (RO);25478;10552;1412;366;13096;52;-
Santa Luzia D'Oeste (RO);4290;1680;233;93;2278;6;-
Vilhena (RO);38420;17757;1909;430;18087;237;-
São Miguel do Guaporé (RO);10500;4084;632;163;5560;61;-
Nova Mamoré (RO);10811;3089;461;247;6866;148;-
Alvorada D'Oeste (RO);8175;3066;497;104;4503;5;-
Alto Alegre dos Parecis (RO);6077;2220;360;90;3384;23;-
Alto Paraíso (RO);8113;3017;469;223;4396;8;-
Buritis (RO);15642;5883;921;275;8545;18;-
Novo Horizonte do Oeste (RO);4904;2063;333;29;2464;15;-
Cacaulândia (RO);2771;912;297;55;1506;1;-
Campo Novo de Rondônia (RO);5897;2043;615;35;3199;5;-
Candeias do Jamari (RO);9459;2327;487;159;6479;7;-
Castanheiras (RO);1746;702;100;3;941;-;-
Chupinguaia (RO);3886;1312;178;14;2280;102;-
Cujubim (RO);7398;2288;603;101;4406;-;-
Governador Jorge Teixeira (RO);5042;1697;280;38;2990;37;-
Itapuã do Oeste (RO);4001;1070;256;56;2608;11;-
Ministro Andreazza (RO);5048;2289;289;51;2409;10;-
Mirante da Serra (RO);5829;2275;299;107;3081;67;-
Monte Negro (RO);6683;2359;356;49;3916;3;-
Nova União (RO);3494;1198;199;37;2060;-;-
Parecis (RO);2215;1052;145;3;1002;13;-
Pimenteiras do Oeste (RO);1097;380;176;31;503;7;-
Primavera de Rondônia (RO);1668;739;97;32;797;3;-
São Felipe D'Oeste (RO);2932;1292;192;36;1410;2;-
São Francisco do Guaporé (RO);7620;2811;306;59;4254;190;-
Seringueiras (RO);5542;2287;405;61;2783;6;-
Teixeirópolis (RO);2348;808;175;39;1315;11;-
Theobroma (RO);4996;1656;254;100;2983;3;-
Urupá (RO);6243;2403;437;84;3317;2;-
Vale do Anari (RO);4405;1323;339;39;2701;3;-
Vale do Paraíso (RO);3966;1363;173;39;2387;4;-
Acrelândia (AC);5946;1617;177;73;4079;-;-
Assis Brasil (AC);2981;759;89;72;1775;286;-
Brasiléia (AC);10361;2688;642;241;6723;67;-
Bujari (AC);3902;844;207;124;2722;5;-
Capixaba (AC);4143;693;132;72;3244;2;-
Cruzeiro do Sul (AC);39287;10335;1856;464;26155;477;-
Epitaciolândia (AC);7474;1595;355;199;5322;3;-
Feijó (AC);15696;4745;981;350;8327;1293;-
Jordão (AC);3165;513;212;2;1391;1047;-
Mâncio Lima (AC);7370;1134;231;104;5293;608;-
Manoel Urbano (AC);3726;630;102;38;2744;212;-
Marechal Thaumaturgo (AC);6764;1063;617;105;4306;673;-
Plácido de Castro (AC);8210;2050;563;267;5326;4;-
Porto Walter (AC);4382;1186;218;83;2619;276;-
Rio Branco (AC);172446;46467;8132;4128;113338;377;4
Rodrigues Alves (AC);6910;1547;266;72;5019;6;-
Santa Rosa do Purus (AC);2285;384;29;9;576;1287;-
Senador Guiomard (AC);9851;1827;499;275;7242;8;-
Sena Madureira (AC);18290;3214;1149;145;13303;479;-
Tarauacá (AC);17237;4021;893;673;10951;699;-
Xapuri (AC);7774;1512;668;191;5390;13;-
Porto Acre (AC);7035;1464;262;64;5236;9;-
Alvarães (AM);6672;911;381;12;4907;461;-
Amaturá (AM);4565;216;16;14;2915;1404;-
Anamã (AM);4768;446;52;31;4186;53;-
Anori (AM);7806;1223;52;6;6345;180;-
Apuí (AM);8456;3087;607;143;4585;34;-
Atalaia do Norte (AM);7301;715;47;19;3432;3088;-
Autazes (AM);15146;3010;786;151;7875;3324;-
Barcelos (AM);11902;1197;419;98;6275;3913;-
Barreirinha (AM);13043;1236;185;50;9152;2420;-
Benjamin Constant (AM);16151;1494;485;135;9379;4658;-
Beruri (AM);7340;713;105;14;6276;232;-
Boa Vista do Ramos (AM);7034;727;126;32;6110;39;-
Boca do Acre (AM);14685;3867;914;156;9325;423;-
Borba (AM);16724;2032;275;77;11571;2769;-
Caapiranga (AM);5163;702;121;33;4301;6;-
Canutama (AM);5866;1191;99;5;4485;86;-
Carauari (AM);12515;2888;721;182;8626;98;-
Careiro (AM);15744;3253;1170;310;10747;264;-
Careiro da Várzea (AM);11242;1924;583;169;8317;249;-
Coari (AM);36489;5825;2306;413;27756;189;-
Codajás (AM);11099;1461;437;116;9079;6;-
Eirunepé (AM);14886;3869;950;113;9402;552;-
Envira (AM);7946;2220;185;53;5174;314;-
Fonte Boa (AM);10993;1237;307;74;9027;348;-
Guajará (AM);6709;1262;251;4;5183;9;-
Humaitá (AM);21023;4790;972;242;14276;743;-
Ipixuna (AM);10899;3223;672;68;6133;803;-
Iranduba (AM);19785;3610;512;218;15391;54;-
Itacoatiara (AM);42413;8371;912;253;32677;200;-
Itamarati (AM);3802;638;53;29;2624;458;-
Itapiranga (AM);3912;781;52;23;3049;7;-
Japurá (AM);3491;497;159;14;2160;661;-
Juruá (AM);5254;984;139;56;3684;391;-
Jutaí (AM);8560;1106;84;41;6090;1239;-
Lábrea (AM);18063;3935;628;85;11822;1593;-
Manacapuru (AM);41680;7361;1164;219;32780;156;-
Manaquiri (AM);11057;1788;400;50;8364;455;-
Manaus (AM);922272;253981;32463;11534;622226;2067;1
Manicoré (AM);22333;5624;883;115;14516;1195;-
Maraã (AM);8121;1019;348;35;6184;535;-
Maués (AM);24953;3178;654;45;18579;2497;-
Nhamundá (AM);8782;745;67;13;7553;404;-
Nova Olinda do Norte (AM);14948;2046;586;159;11946;211;-
Novo Airão (AM);7116;902;314;36;5481;383;-
Novo Aripuanã (AM);10022;1320;355;52;8179;116;-
Parintins (AM);49729;6787;997;189;41252;504;-
Pauini (AM);8676;1660;500;38;5470;1008;-
Presidente Figueiredo (AM);12825;2578;559;153;9262;273;-
Rio Preto da Eva (AM);12313;2920;1428;215;7662;88;-
Santa Isabel do Rio Negro (AM);8824;371;244;247;2725;5237;-
Santo Antônio do Içá (AM);11889;933;245;41;7597;3073;-
São Gabriel da Cachoeira (AM);18433;1035;319;101;2637;14341;-
São Paulo de Olivença (AM);15156;843;604;61;6472;7176;-
São Sebastião do Uatumã (AM);5025;606;99;11;4297;12;-
Silves (AM);3946;596;13;20;3305;12;-
Tabatinga (AM);25913;3278;594;113;14733;7195;-
Tapauá (AM);9002;2101;287;13;5730;871;-
Tefé (AM);29935;4729;702;130;23872;502;-
Tonantins (AM);8302;707;451;41;5622;1481;-
Uarini (AM);5559;994;528;23;3759;255;-
Urucará (AM);8240;1146;113;11;6908;62;-
Urucurituba (AM);8308;1240;162;15;6887;4;-
Amajari (RR);4335;263;68;8;1579;2417;-
Alto Alegre (RR);7772;762;271;53;3057;3629;-
Boa Vista (RR);143512;36494;7619;1655;93275;4469;-
Bonfim (RR);5064;421;172;38;2220;2213;-
Cantá (RR);6364;923;274;53;4278;836;-
Caracaraí (RR);8666;1382;545;72;6407;260;-
Caroebe (RR);3805;910;125;16;2530;224;-
Iracema (RR);4096;731;206;42;2379;738;-
Mucajaí (RR);6927;1222;264;66;5093;282;-
Normandia (RR);4262;156;20;6;1639;2441;-
