Cod. Loc.;Divisões Territoriais;2010
410010;Abatiá;24,3
410020;Adrianópolis;30,6
410030;Agudos do Sul;31
410040;Almirante Tamandaré;37,5
410045;Altamira do Paraná;22,7
410050;Altônia;22,8
410060;Alto Paraná;30,3
410070;Alto Piquiri;28,5
410080;Alvorada do Sul;25
410090;Amaporã;32,7
410100;Ampére;33
410105;Anahy;30,6
410110;Andirá;32,6
410115;Ângulo;21,1
410120;Antonina;37,7
410130;Antônio Olinto;27,1
410140;Apucarana;34,1
410150;Arapongas;27
410160;Arapoti;28,4
410165;Arapuã;24,3
410170;Araruna;23
410180;Araucária;34,4
410185;Ariranha do Ivaí;20,3
410190;Assaí;26,1
410200;Assis Chateaubriand;30,5
410210;Astorga;23,3
410220;Atalaia;21,4
410230;Balsa Nova;36,5
410240;Bandeirantes;32,6
410250;Barbosa Ferraz;30,5
410260;Barracão;31,3
410270;Barra do Jacaré;24,3
410275;Bela Vista da Caroba;26,4
410280;Bela Vista do Paraíso;25,3
410290;Bituruna;26,2
410300;Boa Esperança;33,1
410302;Boa Esperança do Iguaçu;14,2
410304;Boa Ventura de São Roque;23,8
410305;Boa Vista da Aparecida;30,7
410310;Bocaiúva do Sul;30
410315;Bom Jesus do Sul;14,2
410320;Bom Sucesso;40,2
410322;Bom Sucesso do Sul;24,7
410330;Borrazópolis;26
410335;Braganey;31,9
410337;Brasilândia do Sul;27
410340;Cafeara;24,8
410345;Cafelândia;37
410347;Cafezal do Sul;17,5
410350;Califórnia;32,4
410360;Cambará;30,9
410370;Cambé;31,9
410380;Cambira;23,4
410390;Campina da Lagoa;27,8
410395;Campina do Simão;13,1
410400;Campina Grande do Sul;32,3
410405;Campo Bonito;31,1
410410;Campo do Tenente;29,3
410420;Campo Largo;35,8
410425;Campo Magro;34,2
410430;Campo Mourão;31,1
410440;Cândido de Abreu;17,8
410442;Candói;25,1
410445;Cantagalo;33,7
410450;Capanema;31,8
410460;Capitão Leônidas Marques;40,1
410465;Carambeí;20,3
410470;Carlópolis;26,8
410480;Cascavel;36,6
410490;Castro;33,4
410500;Catanduvas;31,9
410510;Centenário do Sul;34,3
410520;Cerro Azul;18
410530;Céu Azul;25,5
410540;Chopinzinho;30,6
410550;Cianorte;31,4
410560;Cidade Gaúcha;24,5
410570;Clevelândia;37,2
410580;Colombo;38,7
410590;Colorado;21,7
410600;Congonhinhas;32,2
410610;Conselheiro Mairinck;57,6
410620;Contenda;34,6
410630;Corbélia;24,5
410640;Cornélio Procópio;29,7
410645;Coronel Domingos Soares;13,8
410650;Coronel Vivida;27,4
410655;Corumbataí do Sul;25,7
410657;Cruzeiro do Iguaçu;26
410660;Cruzeiro do Oeste;30,6
410670;Cruzeiro do Sul;28,1
410680;Cruz Machado;23,7
410685;Cruzmaltina;19,7
410690;Curitiba;38,4
410700;Curiúva;29,4
410710;Diamante do Norte;38,2
410712;Diamante do Sul;21,3
410715;Diamante D'Oeste;24,3
410720;Dois Vizinhos;36,8
410725;Douradina;16,2
410730;Doutor Camargo;20,4
410740;Enéas Marques;18,6
410750;Engenheiro Beltrão;24,6
410752;Esperança Nova;12,9
410753;Entre Rios do Oeste;21,3
410754;Espigão Alto do Iguaçu;21,9
410755;Farol;28,7
410760;Faxinal;24,9
410765;Fazenda Rio Grande;39,5
410770;Fênix;40,5
410773;Fernandes Pinheiro;28,4
410775;Figueira;36
410780;Floraí;26,8
410785;Flor da Serra do Sul;30,1
410790;Floresta;44,5
410800;Florestópolis;25,3
410810;Flórida;28,5
410820;Formosa do Oeste;25,2
410830;Foz do Iguaçu;38,6
410832;Francisco Alves;20,7
410840;Francisco Beltrão;33,6
410845;Foz do Jordão;41,8
410850;General Carneiro;34,4
410855;Godoy Moreira;18,7
410860;Goioerê;33,3
410865;Goioxim;22,9
410870;Grandes Rios;26
410880;Guaíra;27,7
410890;Guairaçá;22,4
410895;Guamiranga;19,7
410900;Guapirama;29,4
410910;Guaporema;19,7
410920;Guaraci;43,8
410930;Guaraniaçu;30,3
410940;Guarapuava;35,9
410950;Guaraqueçaba;30,3
410960;Guaratuba;34,7
410965;Honório Serpa;27,4
410970;Ibaiti;30,6
410975;Ibema;23,7
410980;Ibiporã;30
410990;Icaraíma;28,3
411000;Iguaraçu;36,2
411005;Iguatu;29,8
411007;Imbaú;23,2
411010;Imbituva;26,4
411020;Inácio Martins;22,1
411030;Inajá;40,7
411040;Indianópolis;32,3
411050;Ipiranga;18,8
411060;Iporã;32,5
411065;Iracema do Oeste;25,5
411070;Irati;27,9
411080;Iretama;26,8
411090;Itaguajé;33,2
411095;Itaipulândia;27,2
411100;Itambaracá;28
411110;Itambé;25,7
411120;Itapejara d'Oeste;25,1
411125;Itaperuçu;24,1
411130;Itaúna do Sul;20,9
411140;Ivaí;22,1
411150;Ivaiporã;31,1
411155;Ivaté;25
411160;Ivatuba;22,6
411170;Jaboti;23,8
411180;Jacarezinho;33,7
411190;Jaguapitã;28,1
411200;Jaguariaíva;34,8
411210;Jandaia do Sul;35
411220;Janiópolis;27,2
411230;Japira;33
411240;Japurá;31,8
411250;Jardim Alegre;26,6
411260;Jardim Olinda;26
411270;Jataizinho;38,9
411275;Jesuítas;23,8
411280;Joaquim Távora;26,9
411290;Jundiaí do Sul;21,5
411295;Juranda;23,8
411300;Jussara;16,4
411310;Kaloré;23,9
411320;Lapa;29,5
411325;Laranjal;23,8
411330;Laranjeiras do Sul;33,2
411340;Leópolis;22,2
411342;Lidianópolis;29,1
411345;Lindoeste;24,4
411350;Loanda;31,4
411360;Lobato;32,8
411370;Londrina;35,8
411373;Luiziana;22,8
411375;Lunardelli;18
411380;Lupionópolis;28,5
411390;Mallet;22,2
411400;Mamborê;28,3
411410;Mandaguaçu;26,3
411420;Mandaguari;29,1
411430;Mandirituba;31,9
411435;Manfrinópolis;20,1
411440;Mangueirinha;27,2
411450;Manoel Ribas;22,4
411460;Marechal Cândido Rondon;29,4
411470;Maria Helena;25,9
411480;Marialva;29,6
411490;Marilândia do Sul;18,9
411500;Marilena;18,6
411510;Mariluz;38,8
411520;Maringá;35,7
411530;Mariópolis;25,2
411535;Maripá;18,5
411540;Marmeleiro;23,3
411545;Marquinho;18,8
411550;Marumbi;31,9
411560;Matelândia;31,1
411570;Matinhos;43,5
411573;Mato Rico;22,5
411575;Mauá da Serra;27,8
411580;Medianeira;31
411585;Mercedes;19,2
411590;Mirador;30,5
411600;Miraselva;31,4
411605;Missal;23,1
411610;Moreira Sales;29
411620;Morretes;26,9
411630;Munhoz de Melo;22,8
411640;Nossa Senhora das Graças;26
411650;Nova Aliança do Ivaí;24,2
411660;Nova América da Colina;26,7
411670;Nova Aurora;34,8
411680;Nova Cantu;18
411690;Nova Esperança;28
411695;Nova Esperança do Sudoeste;15
411700;Nova Fátima;29,1
411705;Nova Laranjeiras;26,1
411710;Nova Londrina;33,6
411720;Nova Olímpia;30,6
411721;Nova Santa Bárbara;28,5
411722;Nova Santa Rosa;28,5
411725;Nova Prata do Iguaçu;36,4
411727;Nova Tebas;25,5
411729;Novo Itacolomi;20,6
411730;Ortigueira;30
411740;Ourizona;30,8
411745;Ouro Verde do Oeste;24,7
411750;Paiçandu;29,5
411760;Palmas;37,6
411770;Palmeira;29,2
411780;Palmital;25,4
411790;Palotina;26,8
411800;Paraíso do Norte;26,2
411810;Paranacity;21,8
411820;Paranaguá;35,1
411830;Paranapoema;35,8
411840;Paranavaí;30,4
411845;Pato Bragado;30,1
411850;Pato Branco;34,8
411860;Paula Freitas;29,8
411870;Paulo Frontin;20,2
411880;Peabiru;36,2
411885;Perobal;24
411890;Pérola;35,3
411900;Pérola d'Oeste;20,7
411910;Piên;28,2
411915;Pinhais;36,4
411920;Pinhalão;22,8
411925;Pinhal de São Bento;18,1
411930;Pinhão;36,3
411940;Piraí do Sul;29,1
411950;Piraquara;38,1
411960;Pitanga;31,3
411965;Pitangueiras;40,7
411970;Planaltina do Paraná;24,3
411980;Planalto;28,4
411990;Ponta Grossa;34,9
411995;Pontal do Paraná;43,3
412000;Porecatu;33,4
412010;Porto Amazonas;35,1
412015;Porto Barreiro;14,8
412020;Porto Rico;46,1
412030;Porto Vitória;32,9
412033;Prado Ferreira;22
412035;Pranchita;30,6
412040;Presidente Castelo Branco;20,5
412050;Primeiro de Maio;28,1
412060;Prudentópolis;25,5
412065;Quarto Centenário;26,9
412070;Quatiguá;21,7
412080;Quatro Barras;36
412085;Quatro Pontes;30,3
412090;Quedas do Iguaçu;29
412100;Querência do Norte;27,6
412110;Quinta do Sol;33,4
412120;Quitandinha;27,9
412125;Ramilândia;21,7
412130;Rancho Alegre;32,9
412135;Rancho Alegre D'Oeste;30,8
412140;Realeza;31,7
412150;Rebouças;38,2
412160;Renascença;20,9
412170;Reserva;24,9
412175;Reserva do Iguaçu;32,5
412180;Ribeirão Claro;26,8
412190;Ribeirão do Pinhal;30,5
412200;Rio Azul;21,5
412210;Rio Bom;31,8
412215;Rio Bonito do Iguaçu;16
412217;Rio Branco do Ivaí;36,6
412220;Rio Branco do Sul;30,5
412230;Rio Negro;31,9
412240;Rolândia;31,7
412250;Roncador;27
412260;Rondon;25,4
412265;Rosário do Ivaí;30,1
412270;Sabáudia;22,5
412280;Salgado Filho;26,8
412290;Salto do Itararé;19,9
412300;Salto do Lontra;27,5
412310;Santa Amélia;32,1
412320;Santa Cecília do Pavão;33,2
412330;Santa Cruz de Monte Castelo;29
412340;Santa Fé;32,1
412350;Santa Helena;30,3
412360;Santa Inês;22,1
412370;Santa Isabel do Ivaí;25,5
412380;Santa Izabel do Oeste;38,7
412382;Santa Lúcia;23,5
412385;Santa Maria do Oeste;26,2
412390;Santa Mariana;33,7
412395;Santa Mônica;35,2
412400;Santana do Itararé;34,4
412402;Santa Tereza do Oeste;27,3
412405;Santa Terezinha de Itaipu;37,2
412410;Santo Antônio da Platina;31
412420;Santo Antônio do Caiuá;48,3
412430;Santo Antônio do Paraíso;22,7
412440;Santo Antônio do Sudoeste;29,2
412450;Santo Inácio;22,1
412460;São Carlos do Ivaí;29,4
412470;São Jerônimo da Serra;25,1
412480;São João;22,3
412490;São João do Caiuá;30,5
412500;São João do Ivaí;29,2
412510;São João do Triunfo;16,9
412520;São Jorge d'Oeste;28,3
412530;São Jorge do Ivaí;20,4
412535;São Jorge do Patrocínio;28,7
412540;São José da Boa Vista;23,6
412545;São José das Palmeiras;21,5
412550;São José dos Pinhais;35,3
412555;São Manoel do Paraná;15,4
412560;São Mateus do Sul;27,6
412570;São Miguel do Iguaçu;35,5
412575;São Pedro do Iguaçu;33,3
412580;São Pedro do Ivaí;28,3
412590;São Pedro do Paraná;46,1
412600;São Sebastião da Amoreira;29,8
