Cod. Loc.;Divisões Territoriais;2010
420005;Abdon Batista;9,35
420010;Abelardo Luz;23,1
420020;Agrolândia;23
420030;Agronômica;35,8
420040;Água Doce;28,3
420050;Águas de Chapecó;27,5
420055;Águas Frias;20,2
420060;Águas Mornas;34,6
420070;Alfredo Wagner;26,9
420075;Alto Bela Vista;22,6
420080;Anchieta;15,7
420090;Angelina;17,9
420100;Anita Garibaldi;17,9
420110;Anitápolis;46,3
420120;Antônio Carlos;21,4
420125;Apiúna;19,3
420127;Arabutã;32,5
420130;Araquari;27,4
420140;Araranguá;32,8
420150;Armazém;21,6
420160;Arroio Trinta;38,2
420165;Arvoredo;9,85
420170;Ascurra;41
420180;Atalanta;22,3
420190;Aurora;13,3
420195;Balneário Arroio do Silva;31,6
420200;Balneário Camboriú;40,7
420205;Balneário Barra do Sul;33,6
420207;Balneário Gaivota;30,8
420208;Bandeirante;21,2
420209;Barra Bonita;12,7
420210;Barra Velha;36,9
420213;Bela Vista do Toldo;13,8
420215;Belmonte;18
420220;Benedito Novo;16,7
420230;Biguaçu;35,8
420240;Blumenau;38,6
420243;Bocaina do Sul;23,7
420245;Bombinhas;34,3
420250;Bom Jardim da Serra;19
420253;Bom Jesus;16,4
420257;Bom Jesus do Oeste;21,9
420260;Bom Retiro;26,5
420270;Botuverá;23,5
420280;Braço do Norte;32,1
420285;Braço do Trombudo;34,5
420287;Brunópolis;37,2
420290;Brusque;31,9
420300;Caçador;31,2
420310;Caibi;18,7
420315;Calmon;30,8
420320;Camboriú;31,1
420325;Capão Alto;16,7
420330;Campo Alegre;23,2
420340;Campo Belo do Sul;39,1
420350;Campo Erê;35,8
420360;Campos Novos;33
420370;Canelinha;42,2
420380;Canoinhas;34,6
420390;Capinzal;30
420395;Capivari de Baixo;35,1
420400;Catanduvas;25,2
420410;Caxambu do Sul;39
420415;Celso Ramos;12,6
420417;Cerro Negro;24,4
420419;Chapadão do Lageado;23,1
420420;Chapecó;36,9
420425;Cocal do Sul;33,2
420430;Concórdia;34,3
420435;Cordilheira Alta;21,2
420440;Coronel Freitas;24,1
420445;Coronel Martins;16,6
420450;Corupá;29,5
420455;Correia Pinto;32,9
420460;Criciúma;33
420470;Cunha Porã;22,3
420475;Cunhataí;26,1
420480;Curitibanos;36,2
420490;Descanso;16,7
420500;Dionísio Cerqueira;34,1
420510;Dona Emma;15,2
420515;Doutor Pedrinho;39
420517;Entre Rios;14,1
420519;Ermo;34,7
420520;Erval Velho;25,6
420530;Faxinal dos Guedes;19,9
420535;Flor do Sertão;20,4
420540;Florianópolis;39,9
420543;Formosa do Sul;12,7
420545;Forquilhinha;26,7
420550;Fraiburgo;31,8
420555;Frei Rogério;23,9
420560;Galvão;17,1
420570;Garopaba;29,2
420580;Garuva;39,6
420590;Gaspar;36,3
420600;Governador Celso Ramos;33,8
420610;Grão Pará;16,8
420620;Gravatal;28,2
420630;Guabiruba;27
420640;Guaraciaba;23,1
420650;Guaramirim;29,5
420660;Guarujá do Sul;30,2
420665;Guatambú;13,6
420670;Herval d'Oeste;36,9
420675;Ibiam;19,1
420680;Ibicaré;23,8
420690;Ibirama;29,7
420700;Içara;29,6
420710;Ilhota;37,5
420720;Imaruí;41,5
420730;Imbituba;31,5
420740;Imbuia;20,7
420750;Indaial;37,9
420757;Iomerê;11,8
420760;Ipira;27,9
420765;Iporã do Oeste;16,1
420768;Ipuaçu;33,6
420770;Ipumirim;17,1
420775;Iraceminha;26,8
420780;Irani;29,2
420785;Irati;16,8
420790;Irineópolis;37,3
420800;Itá;25,8
420810;Itaiópolis;23,1
420820;Itajaí;35,4
420830;Itapema;36,7
420840;Itapiranga;27
420845;Itapoá;33,2
420850;Ituporanga;27,4
420860;Jaborá;17,3
420870;Jacinto Machado;26,6
420880;Jaguaruna;30,7
420890;Jaraguá do Sul;30,6
420895;Jardinópolis;11,3
420900;Joaçaba;35,4
420910;Joinville;32,3
420915;José Boiteux;11,4
420917;Jupiá;14,8
420920;Lacerdópolis;15
420930;Lages;35,1
420940;Laguna;35,6
420945;Lajeado Grande;12,6
420950;Laurentino;25,1
420960;Lauro Muller;29,6
420970;Lebon Régis;30
420980;Leoberto Leal;12,4
420985;Lindóia do Sul;15,9
420990;Lontras;32,6
421000;Luiz Alves;45,5
421003;Luzerna;27,9
421005;Macieira;13,7
421010;Mafra;31,8
421020;Major Gercino;25,9
421030;Major Vieira;24,7
421040;Maracajá;39,2
421050;Maravilha;34,1
421055;Marema;13,8
421060;Massaranduba;24,9
421070;Matos Costa;18,8
421080;Meleiro;40
421085;Mirim Doce;17,7
421090;Modelo;27,2
421100;Mondaí;24,7
