Cod. Loc.;Divisões Territoriais;2010
120001;Acrelândia;47,2
120005;Assis Brasil;60,9
120010;Brasiléia;66,6
120013;Bujari;43,6
120017;Capixaba;44,7
120020;Cruzeiro do Sul;70,5
120025;Epitaciolândia;70,3
120030;Feijó;51,3
120032;Jordão;34,5
120033;Mâncio Lima;57,5
120034;Manoel Urbano;66,1
120035;Marechal Thaumaturgo;27,9
120038;Plácido de Castro;60,3
120039;Porto Walter;36,2
120040;Rio Branco;91,8
120042;Rodrigues Alves;30
120043;Santa Rosa do Purus;40,3
120045;Senador Guiomard;63
120050;Sena Madureira;66
120060;Tarauacá;54,4
120070;Xapuri;64,2
120080;Porto Acre;13,3
