Cod. Loc.;Divisões Territoriais;2010
320010;Afonso Cláudio;51
320013;Águia Branca;32,1
320016;Água Doce do Norte;56,9
320020;Alegre;69,9
320030;Alfredo Chaves;46,9
320035;Alto Rio Novo;58,2
320040;Anchieta;76
320050;Apiacá;69,4
320060;Aracruz;87,3
320070;Atilio Vivacqua;62,1
320080;Baixo Guandu;77,4
320090;Barra de São Francisco;64,8
320100;Boa Esperança;72,1
320110;Bom Jesus do Norte;91,8
320115;Brejetuba;28,7
320120;Cachoeiro de Itapemirim;91,4
320130;Cariacica;96,8
320140;Castelo;62,8
320150;Colatina;88
320160;Conceição da Barra;79,4
320170;Conceição do Castelo;50,5
320180;Divino de São Lourenço;38,6
320190;Domingos Martins;24,3
320200;Dores do Rio Preto;55,4
320210;Ecoporanga;63,7
320220;Fundão;84,5
320225;Governador Lindenberg;38,9
320230;Guaçuí;80,4
320240;Guarapari;95,5
320245;Ibatiba;59,8
320250;Ibiraçu;75,7
320255;Ibitirama;35,5
320260;Iconha;58,1
320265;Irupi;37,8
320270;Itaguaçu;57
320280;Itapemirim;62,4
320290;Itarana;37,6
320300;Iúna;57,2
320305;Jaguaré;60,9
320310;Jerônimo Monteiro;78,5
320313;João Neiva;80,7
320316;Laranja da Terra;32,6
320320;Linhares;86
320330;Mantenópolis;63,5
320332;Marataízes;80,9
320334;Marechal Floriano;52
320335;Marilândia;50,9
320340;Mimoso do Sul;62,7
320350;Montanha;75,8
320360;Mucurici;63,5
320370;Muniz Freire;47,1
320380;Muqui;64,7
320390;Nova Venécia;67
320400;Pancas;46,9
320405;Pedro Canário;92,7
320410;Pinheiros;78,3
320420;Piúma;96,3
320425;Ponto Belo;80,1
320430;Presidente Kennedy;33,4
320435;Rio Bananal;38,7
320440;Rio Novo do Sul;52,5
320450;Santa Leopoldina;22,5
320455;Santa Maria de Jetibá;34,5
320460;Santa Teresa;53,9
320465;São Domingos do Norte;43
320470;São Gabriel da Palha;76,4
320480;São José do Calçado;80,2
320490;São Mateus;77,5
320495;São Roque do Canaã;49,5
320500;Serra;99,3
320501;Sooretama;70,8
320503;Vargem Alta;35,1
320506;Venda Nova do Imigrante;72,4
320510;Viana;91,7
320515;Vila Pavão;34,6
320517;Vila Valério;36,5
320520;Vila Velha;99,5
320530;Vitória;100
