Cod. Loc.;Divisões Territoriais;2010
510010;Acorizal;53,1
510020;Água Boa;80,4
510025;Alta Floresta;86,9
510030;Alto Araguaia;88,3
510035;Alto Boa Vista;60,6
510040;Alto Garças;91,4
510050;Alto Paraguai;63,4
510060;Alto Taquari;90,7
510080;Apiacás;74,4
510100;Araguaiana;68,5
510120;Araguainha;86,1
510125;Araputanga;79,4
510130;Arenápolis;94,5
510140;Aripuanã;62,6
510160;Barão de Melgaço;45,1
510170;Barra do Bugres;81,8
510180;Barra do Garças;90,1
510185;Bom Jesus do Araguaia;49,8
510190;Brasnorte;65,4
510250;Cáceres;87,1
510260;Campinápolis;33,7
510263;Campo Novo do Parecis;92,8
510267;Campo Verde;80,6
510268;Campos de Júlio;77,9
510269;Canabrava do Norte;56,2
510270;Canarana;78,9
510279;Carlinda;41,6
510285;Castanheira;47,6
510300;Chapada dos Guimarães;61,9
510305;Cláudia;76,6
510310;Cocalinho;66,4
510320;Colíder;81,3
510325;Colniza;56,8
510330;Comodoro;69,2
510335;Confresa;56,6
510336;Conquista D'Oeste;60,6
510337;Cotriguaçu;34,3
510340;Cuiabá;98,1
510343;Curvelândia;59,5
510345;Denise;85,6
510350;Diamantino;78,1
510360;Dom Aquino;80,3
510370;Feliz Natal;74,3
510380;Figueirópolis D'Oeste;53
510385;Gaúcha do Norte;34,9
510390;General Carneiro;46,9
510395;Glória D'Oeste;68,5
510410;Guarantã do Norte;74,3
510420;Guiratinga;82,3
510450;Indiavaí;74,3
510452;Ipiranga do Norte;67,8
510454;Itanhangá;60,1
510455;Itaúba;81,2
510460;Itiquira;38,7
510480;Jaciara;92,1
510490;Jangada;38,3
510500;Jauru;59
510510;Juara;79,4
510515;Juína;86,5
510517;Juruena;60,7
510520;Juscimeira;74,4
510523;Lambari D'Oeste;53,3
510525;Lucas do Rio Verde;93,2
510530;Luciára;91,5
510550;Vila Bela da Santíssima Trindade;35,6
510558;Marcelândia;61,9
510560;Matupá;77,1
510562;Mirassol d'Oeste;84,9
510590;Nobres;84,7
510600;Nortelândia;81,9
510610;Nossa Senhora do Livramento;36,5
510615;Nova Bandeirantes;34,9
510617;Nova Nazaré;36,9
510618;Nova Lacerda;54,8
510619;Nova Santa Helena;57,3
510620;Nova Brasilândia;79,8
510621;Nova Canaã do Norte;56,2
510622;Nova Mutum;81,7
510623;Nova Olímpia;90,4
510624;Nova Ubiratã;64,3
510625;Nova Xavantina;80,2
510626;Novo Mundo;39,3
510627;Novo Horizonte do Norte;47,4
510628;Novo São Joaquim;61,5
510629;Paranaíta;52,9
510630;Paranatinga;76,8
510631;Novo Santo Antônio;67,1
510637;Pedra Preta;72,3
510642;Peixoto de Azevedo;64,3
510645;Planalto da Serra;75,3
510650;Poconé;72,6
510665;Pontal do Araguaia;82,5
510670;Ponte Branca;85,4
510675;Pontes e Lacerda;83,7
510677;Porto Alegre do Norte;48,2
510680;Porto dos Gaúchos;50,7
510682;Porto Esperidião;38,1
510685;Porto Estrela;40,2
510700;Poxoréo;67,7
510704;Primavera do Leste;94,6
510706;Querência;45,8
510710;São José dos Quatro Marcos;76,4
510715;Reserva do Cabaçal;63,1
510718;Ribeirão Cascalheira;62,7
510719;Ribeirãozinho;70,7
510720;Rio Branco;81,8
510724;Santa Carmem;75,4
510726;Santo Afonso;51,5
510729;São José do Povo;48,3
510730;São José do Rio Claro;76,9
510735;São José do Xingu;72,2
510740;São Pedro da Cipa;89,1
510757;Rondolândia;26,4
510760;Rondonópolis;96,2
510770;Rosário Oeste;60,3
510774;Santa Cruz do Xingu;65,8
510775;Salto do Céu;55,9
510776;Santa Rita do Trivelato;54,9
510777;Santa Terezinha;40,2
510779;Santo Antônio do Leste;56,4
510780;Santo Antônio do Leverger;38,8
510785;São Félix do Araguaia;58,1
510787;Sapezal;83,6
510788;Serra Nova Dourada;59,6
510790;Sinop;82,9
510792;Sorriso;87,7
510794;Tabaporã;52,8
510795;Tangará da Serra;91
510800;Tapurah;62,8
510805;Terra Nova do Norte;45
510810;Tesouro;70,2
510820;Torixoréu;76,4
510830;União do Sul;62,2
510835;Vale de São Domingos;23,4
510840;Várzea Grande;98,5
510850;Vera;71,8
510860;Vila Rica;65,3
510880;Nova Guarita;39,3
510885;Nova Marilândia;66,3
510890;Nova Maringá;51,9
510895;Nova Monte Verde;49,1
