Cod. Loc.;Divisões Territoriais;2010
110001;Alta Floresta D'Oeste;57,3
110002;Ariquemes;84,7
110003;Cabixi;42,7
110004;Cacoal;78,8
110005;Cerejeiras;84,7
110006;Colorado do Oeste;73,5
110007;Corumbiara;29,5
110008;Costa Marques;54,8
110009;Espigão D'Oeste;71,7
110010;Guajará-Mirim;84,5
110011;Jaru;67,5
110012;Ji-Paraná;89,9
110013;Machadinho D'Oeste;51,9
110014;Nova Brasilândia D'Oeste;42,2
110015;Ouro Preto do Oeste;74,3
110018;Pimenta Bueno;87
110020;Porto Velho;91,6
110025;Presidente Médici;59,6
110026;Rio Crespo;32,1
110028;Rolim de Moura;81,8
110029;Santa Luzia D'Oeste;50,9
110030;Vilhena;94,8
110032;São Miguel do Guaporé;38,8
110033;Nova Mamoré;58
110034;Alvorada D'Oeste;52,4
110037;Alto Alegre dos Parecis;28,5
110040;Alto Paraíso;47,9
110045;Buritis;56
110050;Novo Horizonte do Oeste;16,9
110060;Cacaulândia;36,1
110070;Campo Novo de Rondônia;26,6
110080;Candeias do Jamari;65,2
110090;Castanheiras;23,4
110092;Chupinguaia;44,1
110094;Cujubim;69,7
110100;Governador Jorge Teixeira;22,5
110110;Itapuã do Oeste;61
110120;Ministro Andreazza;29,7
110130;Mirante da Serra;54,3
110140;Monte Negro;52,4
110143;Nova União;20,6
110145;Parecis;36,9
110146;Pimenteiras do Oeste;55,8
110147;Primavera de Rondônia;36,4
110148;São Felipe D'Oeste;24
110149;São Francisco do Guaporé;51,3
110150;Seringueiras;37,8
110155;Teixeirópolis;35,1
110160;Theobroma;18,6
110170;Urupá;39,6
110175;Vale do Anari;34
110180;Vale do Paraíso;27,7
